ceo,country,market_value_jan_2020,market_value_jan_2021,market_value_jan_2022,name,employees_2022,revenue_2022,sector
,netherlands,3838000000.0,3725000000.0,2871000000,sbm offshore,"4,507",3672000,energy
,denmark,1402000000.0,1857000000.0,2871000000,alm brand a/s,"1,725",781000000,financial services
,spain,1800000000.0,1376000000.0,2871000000,unicaja banco,,,financial services
,uk,2859000000.0,2780000000.0,2870000000,victrex,900,413000000,basic materials
,ireland,1290000000.0,2907000000.0,2867000000,keywords studios,,512000000,communication services
,uk,1234000000.0,2043000000.0,2861000000,kainos group,,356000000,technology
,germany,2613000000.0,3020000000.0,2853000000,software ag,,919000000,technology
,italy,1575000000.0,2321000000.0,2851000000,falck renewables,,627000000,utilities
,luxembourg,5101000000.0,3925000000.0,2847000000,millicom international cellular,"22,000",4617000,communication services
,germany,2449000000.0,3355000000.0,2845000000,gerresheimer ag,"9,872",1652000,healthcare
,uk,4824000000.0,4202000000.0,2844000000,ashmore group,,299000000,financial services
,uk,,,2837000000,paysafe limited,,1487000,technology
,uk,,,2828000000,templeton emerging markets investment trust plc,,1257000,financial services
,sweden,2081000000.0,2693000000.0,2825000000,bravida holding ab publ,,2319000,industries
,uk,,2702000000.0,2823000000,wh smith,"14,321",1176000,retail
,poland,2467000000.0,2333000000.0,2818000000,orange polska,,2813000,communication services
,germany,2097000000.0,2037999999.0,2818000000,mvv energie ag,,4669000,utilities
,germany,,,2816000000,nagarro se,,546000000,technology
,belgium,2896000000.0,2929000000.0,2805000000,solvac,,329000000,basic materials
,germany,2118000000.0,2612000000.0,2804000000,kws saat se & co kgaa,"5,709",1310000,consumer defensive
,iceland,3399000000.0,3356000000.0,2801000000,ossur,"4,000",718000000,healthcare
,france,3784000000.0,2595000000.0,2792000000,eutelsat communications,,1233000,technology
,uk,3904000000.0,2439000000.0,2789000000,ssp group,"39,549",1107000,consumer cyclical
,russia,4048000000.0,3817000000.0,2780000000,federal grid company of unified energy system,,3900000,utilities
,germany,,,2776000000,h&k ag,,,industries
,netherlands,1863000000.0,3329000000.0,2773000000,corbion,"2,267",1180000,basic materials
,portugal,3556000000.0,2267000000.0,2773000000,banco comercial portugues,,,financial services
,uk,,2799000000.0,2770000000,assura,,160000000,real estate
,uk,2233000000.0,2009999999.0,2768000000,pagegroup,,1935000,industries
,luxembourg,3439000000.0,2543000000.0,2767000000,samsonite international,"14,500",2020000,consumer cyclical
,uk,,2666000000.0,2759000000,finsbury growth & income trust,,279000000,asset management
,portugal,,,2759000000,the navigator company sa,,1595000,paper and pulp
,belgium,1729000000.0,1900000000.0,2753000000,nv bekaert sa,,5337000,industries
,russia,2795000000.0,2245000000.0,2748000000,nizhnekamskneftekhim,,2527000,basic materials
,netherlands,1817000000.0,1262000000.0,2738000000,cnova,,2389000,consumer cyclical
,sweden,3292000000.0,2711000000.0,2737000000,atrium ljungberg ab publ,,328000000,real estate
,uk,2325000000.0,2530000000.0,2733000000,cranswick,"6,988",2365000,consumer defensive
,norway,645000000.0,1170000000.0,2731000000,arendals fossekompani asa,,476000000,utilities
,malta,14605000000.0,22595000000.0,2729000000,kindred group,"1,564",1671000,consumer cyclical
,sweden,898000000.0,1468000000.0,2727000000,hnetworks ab publ,,209000000,technology
,uk,,2757000000.0,2721000000,primary health properties,,192000000,real estate
,sweden,1107000000.0,1868000000.0,2714000000,lagercrantz group ab publ,,517000000,technology
,uk,,1735000000.0,2710000000,hg capital trust,,803000000,asset management
,france,2514000000.0,2684000000.0,2703000000,robertet sa,,606000000,basic materials
,germany,1028999999.0,1953000000.0,2702000000,secunet security networks,,337000000,technology
,malta,,,2689000000,unibet group plc,,,consumer cyclical
,switzerland,2957000000.0,2338000000.0,2673000000,dormakaba holding ag,,2861000,industries
,norway,1161000000.0,1127000000.0,2671000000,wallenius wilhelmsen asa,,3884000,industries
,uk,2181000000.0,1868000000.0,2668000000,savills,,0,real estate
,france,,,2667000000,technip energies nv,,7096000,energy
,spain,3015000000.0,2548000000.0,2653000000,compania de distribucion integral logista holdings,,11930000,industries
,france,1847000000.0,1958000000.0,2648000000,constellium se,,6150000,basic materials
,switzerland,980000000.0,1723000000.0,2647000000,comet holding ag,,549000000,technology
,denmark,867000000.0,1785000000.0,2638000000,bavarian nordic a/s,,255000000,healthcare
,germany,,,2631000000,encavis ag,,332000000,utilities
,uk,1945000000.0,2027000000.0,2620000000,domino's pizza group,,743000000,consumer cyclical
,germany,7101000000.0,10737000000.0,2617000000,teamviewer ag,"1,200",553000000,technology
,germany,1464000000.0,2013000000.0,2610000000,gag immobilien ag,,390000000,real estate
,france,2794000000.0,2387000000.0,2600000000,nexity sa,,4467000,real estate
,sweden,1851000000.0,2225000000.0,2598000000,fastpartner ab publ,,175000000,real estate

