name,code,rank,ceo,country,sector,industry,headquarters,employees,founded,marketcap,revenue,net_income,link
the kraft heinz company,khc,347,miguel patricio,united states,consumer staples,packaged foods,"pittsburgh, pa, united states","36,000","july 2, 2015",49420000000,26040000000,1020000000,"https://www.kraftheinzcompany.com, https://www.facebook.com/kraft, https://twitter.com/kraftheinzco, https://www.linkedin.com/company/164197, https://en.wikipedia.org/wiki/kraft heinz"
roper technologies inc,rop,346,laurence neil hunn,united states,industrials,specialty industrial machinery,"sarasota, fl, united states","19,300",1890,49660000000,"us$ 3,238.128 million (2013) us$ 2,993.489 million (2012)",us$ 538.293 million (2013) us$ 483.36 million (2012),"https://www.ropertech.com, https://www.linkedin.com/company/roper-industries, https://en.wikipedia.org/wiki/roper technologies"
mercadolibre inc,meli,345,marcos eduardo galperan,argentina,consumer discretionary,internet retail,"buenos aires, argentina","29,957","august 2, 1999",49830000000,us$3.973 billion (2020): 31,us$-0.7 million (2020): 31,"https://www.mercadolibre.com, https://en.wikipedia.org/wiki/mercadolibre"
illumina inc,ilmn,344,francis a desouza,united states,healthcare,diagnostics & research,"san diego, ca, united states","9,800",1998,49910000000,"us$1.093 billion (fiscal year ended january 3, 2021)","us$0.656 billion (fiscal year ended january 3, 2021)","https://www.illumina.com, https://en.wikipedia.org/wiki/illumina, inc."
safran sa,saf,343,olivier andries,france,industrials,aerospace & defense,"paris, france","77,008",,50020000000,,,https://www.safran-group.com
synopsys inc,snps,342,aart j de geus,united states,technology,softwareinfrastructure,"mountain view, ca, united states","16,361","1986 in research triangle park, north carolina.",50180000000,4200000000,757500000,"https://www.synopsys.com, https://www.facebook.com/synopsys, https://twitter.com/synopsys, https://www.linkedin.com/company/synopsys, https://en.wikipedia.org/wiki/synopsys"
novatek pjsc,nvtk,341,leonid viktorovich mikhelson,russia,energy,oil & gas e&p,"tarko-sale, russia",,,50190000000,,,https://www.novatek.ru
ecolab inc,ecl,340,christophe beck,united states,basic materials,specialty chemicals,"saint paul, mn, united states","47,000",1923,50290000000,14900000000,1558000000,"https://www.ecolab.com, https://www.facebook.com/ecolab, https://twitter.com/ecolab, https://www.linkedin.com/company/ecolab, https://en.wikipedia.org/wiki/ecolab"
china tourism group duty free corp ltd,601888,339,,china,consumer discretionary,travel services,"beijing, china","14,217",,50460000000,,,https://www.ctgdutyfree.com.cn
hon hai precision industry co ltd,2317,338,,taiwan,technology,electronic components,"new taipei city, taiwan",,,50750000000,,,https://www.foxconn.com
fortescue metals group limited,fmg,337,elizabeth anne gaines ca,australia,basic materials,other industrial metals & mining,"east perth, wa, australia","10,232",2003,50760000000,a$17.62 billion (2020),a$6.50 billion (2020),"https://www.fmgl.com.au, https://twitter.com/fortescuenews, https://www.linkedin.com/company/fortescue-metals-group, https://en.wikipedia.org/wiki/fortescue metals group"
american electric power company inc,aep,336,nicholas k akins,united states,utilities,utilitiesregulated electric,"columbus, oh, united states","16,688",1906,50950000000,8879000000,1064000000,"https://www.aep.com, https://en.wikipedia.org/wiki/american electric power"
archer-daniels-midland company,adm,335,juan ricardo luciano,united states,consumer staples,farm products,"chicago, il, united states","39,218","minneapolis, minnesota, u.s.1902",51030000000,us$85.249 billion (as of 2/2022),us$2.709 billion (as of 2/2022),"https://www.adm.com, https://www.facebook.com/admcares/, https://twitter.com/admupdates, https://www.linkedin.com/company/adm, https://en.wikipedia.org/wiki/adm  company "
hp inc,hpq,400,enrique j lores,united states,technology,computer hardware,"palo alto, ca, united states","51,000","january 1, 1939",43900000000,63490000000,6500000000,"https://www.hp.com, https://en.wikipedia.org/wiki/hp inc."
zijin mining group co ltd,601899,399,,china,basic materials,gold,"longyan, china","43,876",,43930000000,,,https://www.zijinmining.com
wipro limited,wipro,398,thierry delaporte,india,technology,information technology services,"bengaluru, india","220,000",29 december 1945,43980000000,"75,000 crore (us$9.8 billion) (2021)","10,866 crore (us$1.4 billion) (2021)","https://www.wipro.com, https://www.facebook.com/wiprotechnologies, https://twitter.com/wipro, https://www.linkedin.com/company/wipro, https://en.wikipedia.org/wiki/wipro"
samsung biologics coltd,207940,397,john chongbo rim,south korea,healthcare,biotechnology,"incheon, south korea","3,247",,44010000000,,,https://samsungbiologics.com
sumitomo mitsui financial group inc,8316,396,jun ohta,japan,financials,banks,"tokyo, japan","86,800","june 6, 1996",44060000000,47980000000,6470000000,"https://www.smfg.co.jp, https://en.wikipedia.org/wiki/sumitomo mitsui financial group"
chipotle mexican grill inc,cmg,395,brian r niccol,united states,consumer discretionary,restaurants,"newport beach, ca, united states","97,660","july 13, 1993",44110000000,5586000000,350158000,"https://www.chipotle.com, https://www.facebook.com/chipotle, https://www.twitter.com/chipotletweets, https://www.linkedin.com/company/chipotle-mexican-grill, https://en.wikipedia.org/wiki/chipotle mexican grill"
cadence design systeinc,cdns,394,anirudh devgan phd,united states,technology,softwareapplication,"san jose, ca, united states","9,300",1988,44230000000,2682000000,590000000,"https://www.cadence.com, https://www.facebook.com/cadencedesign, https://twitter.com/cadence, https://www.linkedin.com/company/cadence-design-systems, https://en.wikipedia.org/wiki/cadence design systems"
cintas corporation,ctas,393,todd m schneider,united states,industrials,specialty business services,"cincinnati, oh, united states","40,000",1929,44320000000,us$7.09 billion (2020) us$4.476 billion (2015),us$876 million (2020) us$430.62 million (2015),"https://www.cintas.com, https://www.facebook.com/cintas, https://twitter.com/cintascorp, https://www.linkedin.com/company/cintas, https://en.wikipedia.org/wiki/cintas"
iqvia holdings inc,iqv,392,ari bousbib,united states,healthcare,diagnostics & research,"durham, nc, united states","79,000",1982,44320000000,11359000000,,"https://www.iqvia.com, https://www.facebook.com/quintiles/, https://twitter.com/quintilesims, https://en.wikipedia.org/wiki/iqvia"
autozone inc,azo,391,william c rhodes iii,united states,consumer discretionary,specialty retail,"memphis, tn, united states","65,100","july 4, 1979",44390000000,"us$12.631 billion (fiscal year ended august 29, 2020)","us$1.732 billion (fiscal year ended august 29, 2020)","https://www.autozone.com, https://en.wikipedia.org/wiki/autozone"
te connectivity ltd,tel,390,terrence r curtin cpa,switzerland,technology,electronic components,"schaffhausen, switzerland","85,000",2007,44780000000,14900000000,,"https://www.te.com, https://en.wikipedia.org/wiki/te connectivity"
intesa sanpaolo spa,isp,389,carlo messina,italy,financials,banks,"turin, to, italy","78,000",,44950000000,,,https://www.intesasanpaolo.com
pjsc lukoil,lkoh,388,vagit yusufovich alekperov,russia,energy,oil & gas integrated,"moscow, russia","101,374",,44960000000,,,"https://www.lukoil.com, https://www.facebook.com/lukoil.en, https://twitter.com/lukoilengl, https://www.linkedin.com/company/lukoil/about/"
saudi arabian mining company,1211,387,robert g wilt,saudi arabia,basic materials,other industrial metals & mining,"riyadh, saudi arabia",,,45000000000,,,https://www.maaden.com.sa
mitsui & co ltd,8031,386,kenichi hori,japan,energy,oil & gas e&p,"tokyo, japan","44,509",,45090000000,,,https://www.mitsui.com/jp/en
datadog inc,ddog,385,olivier pomel,united states,technology,softwareapplication,"new york, ny, united states","3,200",2010,45130000000,1030000000,us$20.75 million (2021),"https://www.datadoghq.com, https://www.facebook.com/datadoghq, https://twitter.com/datadoghq, https://www.linkedin.com/company/datadog, https://en.wikipedia.org/wiki/datadog"
dupont de nemours inc,dd,450,edward d breen,united states,basic materials,chemicals,"wilmington, de, united states","28,000","september 1, 2017",39720000000,20397000000,us$2.951 billion (2020),"https://www.dupont.com, https://www.facebook.com/dupontco, https://twitter.com/dupont news, https://www.linkedin.com/company/dupont, https://en.wikipedia.org/wiki/dupont"
wanhua chemical group co ltd,600309,449,,china,basic materials,chemicals,"yantai, china","19,692",,39730000000,,,https://www.whchem.com
united overseas bank ltd,u11,448,ee cheong wee bsc ma,singapore,financials,banks,"singapore, singapore","24,346",,39730000000,,,https://www.uobgroup.com
xcel energy inc,xel,447,robert c frenzel,united states,utilities,utilitiesregulated electric,"minneapolis, mn, united states","11,321",1909,39760000000,11526000000,1473000000,"https://www.xcelenergy.com, https://en.wikipedia.org/wiki/xcel energy"
welltower inc,well,446,shankh s mitra,united states,real estate,reithealthcare facilities,"toledo, oh, united states",464,1970,39960000000,5120000000,1833000000,"https://www.welltower.com, https://www.facebook.com/welltowerinc/, https://twitter.com/welltower, https://www.linkedin.com/company/welltower, https://en.wikipedia.org/wiki/welltower"
msci inc,msci,445,henry a fernandez,united states,financials,financial data & stock exchanges,"new york, ny, united states","4,303",1968,39970000000,1690000000,601820000,"https://www.msci.com, https://en.wikipedia.org/wiki/msci"
boc hong kong holdings ltd,2388,444,yu sun,hong kong,financials,banks,"central, hong kong","14,462",,39990000000,,,https://www.bochk.com
baxter international inc,bax,443,jose e almeida,united states,healthcare,medical instruments & supplies,"deerfield, il, united states","60,000",1931,40130000000,11,1,"https://www.baxter.com, https://www.facebook.com/baxterinternationalinc/, https://twitter.com/baxter intl, https://www.linkedin.com/company/baxter-healthcare/, https://en.wikipedia.org/wiki/baxter international"
citic securities company ltd,600030,442,,china,financials,capital markets,"shenzhen, china","11,380",,40170000000,,,https://www.cs.ecitic.com
global payments inc,gpn,441,jeffrey s sloan jd,united states,industrials,specialty business services,"atlanta, ga, united states","25,000",2000,40350000000,7400000000,605000000,"https://www.globalpaymentsinc.com, https://www.facebook.com/globalpaymentsinc, https://twitter.com/globalpayinc, https://www.linkedin.com/company/global-payments, https://en.wikipedia.org/wiki/global payments"
agilent technologies inc,a,440,michael r mcmullen,united states,healthcare,diagnostics & research,"santa clara, ca, united states","17,200",1999,40490000000,5339000000,686000000,"https://www.agilent.com, https://www.facebook.com/agilent.tech, https://twitter.com/agilent, https://www.linkedin.com/company/1526, https://en.wikipedia.org/wiki/agilent technologies"
walgreens boots alliance inc,wba,439,rosalind gates brewer,united states,healthcare,pharmaceutical retailers,"deerfield, il, united states","202,000","december 31, 2014",40550000000,139500000000,456000000,"https://www.walgreensbootsalliance.com, https://en.wikipedia.org/wiki/walgreens boots alliance"
digital realty trust inc,dlr,438,arthur william stein,united states,real estate,reitoffice,"san francisco, ca, united states","3,030",2004,40640000000,3209000000,579000000,"https://www.digitalrealty.com, https://www.facebook.com/digitalrealty, https://twitter.com/digitalrealty, https://www.linkedin.com/company/digitalrealty, https://en.wikipedia.org/wiki/digital realty"
oversea-chinese banking corp ltd,o39,437,,singapore,financials,banks,"singapore, singapore","29,622",,40770000000,,,https://www.ocbc.com
carrier global corporation,carr,436,david l gitlin,united states,industrials,building products & equipment,"palm beach gardens, fl, united states","58,000","june 26, 1915",40790000000,17460000000,1980000000,"https://www.corporate.carrier.com, https://en.wikipedia.org/wiki/carrier global"
the bank of new york mellon corporation,bk,435,thomas p gibbons,united states,financials,asset management,"new york, ny, united states","49,100","july 1, 2007",40830000000,15900000000,3550000000,"https://www.bnymellon.com, https://en.wikipedia.org/wiki/bank of new york mellon"
mplx lp,mplx,500,michael j hennigan,united states,energy,oil & gas midstream,"findlay, oh, united states","1,139",1988,35270000000,us$ 0 1.687 billion(2013),,"https://www.mplx.com, https://en.wikipedia.org/wiki/markwest energy"
woolworths group limited,wow,499,bradford leon banducci bcomm acc llb mba,australia,consumer staples,grocery stores,"bella vista, nsw, australia","210,067",22 september 1924,35330000000,a$63.67 billion (2020),a$1.602 billion (2020),"https://www.woolworthsgroup.com.au, https://en.wikipedia.org/wiki/sca property group"
intuitive surgical inc,isrg,498,gary s guthart phd,united states,healthcare,medical instruments & supplies,"sunnyvale, ca, united states","9,793",1995,35370000000,us$ 4.4 billions (2020) us$ 1.1 billion (2012),us$ 1.1 billion (2020) us$ 656.6 million (2012),"https://www.intuitive.com, https://en.wikipedia.org/wiki/intuitive surgical"
experian plc,expn,497,brian j cassin,ireland,industrials,consulting services,"dublin, ireland","20,000",1996,35400000000,5372000000,802000000,"https://www.experianplc.com, https://en.wikipedia.org/wiki/experian"
