name,code,rank,marketcap,country,share_price,change(1day),change(1year),categories
wh group,0288.hk,1753,7440000000,hong kong,0,1.35%,-7.94%,food
acadia healthcare,achc,1751,7450000000,usa,81,-3.27%,38.83%,
mitsubishi chemical holdings,4188.t,1752,7450000000,japan,5,-0.76%,-30.82%,chemicals
rohm,6963.t,1750,7450000000,japan,75,-0.67%,-18.29%,"semiconductors, tech"
ally,ally,1749,7460000000,usa,25,-1.42%,-48.28%,"banks, financialservices"
adaro energy,adro.jk,1748,7470000000,indonesia,0,-2.35%,84.62%,"electricity, energy, coalmining"
grupo acs,acs.mc,1747,7480000000,spain,28,-0.70%,14.25%,"engineering, construction"
kepco,9503.t,1746,7500000000,japan,8,-1.62%,-10.91%,"electricity, utilitycompanies, energy"
opentext,otex,1745,7500000000,canada,27,-0.86%,-42.47%,"software, tech"
arabian internet and communications services,7202.sr,1741,7510000000,saudi arabia,63,-0.34%,28.07%,itservices
healthcare realty,hr,1744,7500000000,usa,19,0.46%,-39.22%,"healthcare, reits, realestate, investment, medicalcarefacilities"
grupo aeroportuario del sureste,asr,1742,7510000000,mexico,249,-0.22%,25.45%,"airports, infrastructure"
tokyu,9005.t,1740,7520000000,japan,12,0.06%,-13.19%,"railways, transportation"
auckland airport,aia.ax,1743,7510000000,new zealand,5,0.40%,-2.67%,"airports, infrastructure"
kingdom holding,4280.sr,1739,7530000000,saudi arabia,2,-1.16%,-25.64%,investment
raiadrogasil,radl3.sa,1738,7540000000,brazil,4,-1.08%,11.98%,
idbi bank,idbi.ns,1733,7560000000,india,0,-1.44%,9.38%,"banks, financialservices"
want want china,0151.hk,1737,7540000000,hong kong,0,1.44%,-28.41%,food
rakuten,4755.t,1734,7540000000,japan,4,-0.91%,-52.36%,"ecommerce, internet, tech"
admiral group,adm.l,1735,7540000000,uk,24,-0.60%,-39.86%,"insurance, financialservices"
st james's place,stj.l,1732,7570000000,uk,13,-0.83%,-34.54%,"assetmanagement, investment, financialservices"
berry global,bery,1736,7540000000,usa,60,-1.16%,-15.52%,
skf svenska kullagerfabriken,skf-b.st,1730,7570000000,sweden,16,0.81%,-28.86%,
sealed air,see,1729,7570000000,usa,52,-0.70%,-18.67%,
olin,oln,1731,7570000000,usa,55,0.66%,-3.29%,
shanghai commercial and savings bank,5876.tw,1727,7600000000,taiwan,1,0.31%,-8.72%,"banks, financialservices"
indofood cbp,icbp.jk,1726,7610000000,indonesia,0,-1.21%,8.33%,food
nrg energy,nrg,1725,7630000000,usa,33,-4.44%,-14.72%,
sagax,saga-b.st,1728,7580000000,sweden,22,-1.18%,-40.54%,"realestate, investment, reits"
sofina,sof.vi,1724,7630000000,belgium,227,0.00%,-52.41%,
elbit systems,eslt,1721,7660000000,israel,171,0.64%,9.34%,
jones lang lasalle,jll,1723,7650000000,usa,161,-0.32%,-37.16%,
fortune brands home & security,fbhs,1722,7660000000,usa,59,-1.60%,-43.24%,
dish network,dish,1718,7660000000,usa,14,0.00%,-55.03%,telecommunication
nippon building fund,8951.t,1719,7660000000,japan,4,0.16%,-27.45%,"realestate, investment"
lg household & health care,051905.ks,1717,7670000000,south korea,225,-0.34%,-58.13%,consumergoods
shoprite,shp.jo,1720,7660000000,south africa,14,-1.44%,16.30%,"retail, supermarketchains"
abb india,abb.ns,1715,7680000000,india,36,0.65%,32.37%,engineering
vipshop,vips,1716,7680000000,china,12,-1.49%,25.90%,"ecommerce, tech, internet, retail"
