name,industry,head_quarters,founded,area_served
tp-link,networking equipment,"irving, texas",1996  26 years ago  1996 ,worldwide
tsmc,semiconductors,"irving, texas","industrial technology research institute, hsinchu, taiwan  1987  35 years ago  1987  ",worldwide
typotheque,graphic design,"irving, texas",1999,
uber,transportation mobility as a service,"san francisco, california",march 2009  13 years ago  2009-03 ,"approximately 72 countries and 10,500 cities"
ulker,food processing,istanbul,22 february 1944  78 years ago  1944-02-22 ,worldwide
united microelectronics corporation,semiconductor foundry,hsinchu science park,1980  42 years ago  1980 ,
unicredit,financial services,hsinchu science park,1998  24 years ago  1998 ,
unilever,consumer goods,london,2 september 1929  93 years ago  1929-09-02 ,worldwide
ubisoft,video games,london,28 march 1986  36 years ago  1986-03-28 ,worldwide
unisys,information technology consulting outsourcing,london,1986  36 years ago  1986 ,worldwide
united airlines,information technology consulting outsourcing,willis tower,"april 6, 1926  96 years ago  1926-04-06   as varney air lines in boise, idaho, u.s. [1]",
the vanguard group,investment management,willis tower,"may 1, 1975  47 years ago  1975-05-01 ",
volvo,automotive,gothenburg,1927  95 years ago  1927 ,worldwide
vanke,real estate,gothenburg,1984,
vestel,"consumer electronics, home appliances, information technology",manisa,1984,"europe, middle east, central asia"
vestas,electrical equipment,manisa,1945  77 years ago  1945 ,
verisk analytics,data analytics and risk assessment,"jersey city, new jersey",1971  51 years ago  1971 [1],
vertiv,electrical equipment,"columbus, ohio",2016  6 years ago  2016 ,worldwide
vf corporation,apparel accessories,denver,"october 1899  123 years ago  1899-10   as reading glove and mitten manufacturing company  reading, pennsylvania, u.s.",
viettel,telecommunication,hanoi,1 june 1989  33 years ago  1989-06-01 ,
victoria's secret,apparel,hanoi,"june 12, 1977  45 years ago  1977-06-12  stanford shopping center, palo alto, california, u.s.[1]",
victorinox,apparel,hanoi,1884  138 years ago  1884   as messerfabrik carl elsener  2 january 1979  as victorinox ag ,worldwide
veon,telecommunications,hanoi,2009  13 years ago  2009 ,"africa, asia, europe"
virgin group,conglomerate,hanoi,february 1970  52 years ago  1970-02 ,worldwide
vitol,"commodity, oil & gas",geneva,"1966  56 years ago  1966  rotterdam, netherlands[1]",global
vizio,electronics,geneva,"october 2002  20 years ago  2002-10  costa mesa, california, u.s.",north america
vivendi,media,geneva,14 december 1853  169 years ago  1853-12-14 ,worldwide
vinamilk,"dairy products, juice",ho chi minh city,1976,worldwide
vodafone,telecommunications,"newbury, berkshire, england, uk",16 september 1991  31 years ago  1991-09-16 ,worldwide
voith,mechanical engineering,heidenheim an der brenz,1867,
volkswagen group,automotive,heidenheim an der brenz,"berlin, germany  28 may 1937  85 years ago  1937-05-28  ",worldwide
the wendy's company,foodservice,heidenheim an der brenz,1884  138 years ago  1884 ,worldwide
want want,food and drink,heidenheim an der brenz,1884  138 years ago  1884 ,
walmart,retail,heidenheim an der brenz,"july 2, 1962  60 years ago  1962-07-02  in rogers, arkansas[1] october 31, 1969  53 years ago  1969-10-31  in wilmington, delaware  incorporation ",worldwide
the walt disney company,media entertainment,team disney building,"october 16, 1923  99 years ago  1923-10-16 ",worldwide
warner bros discovery,media entertainment,team disney building,"april 8, 2022  8 months ago  2022-04-08 ",worldwide
wawa company,convenience store gas station fast food,team disney building,"april 16, 1964  58 years ago  1964-04-16 ","delaware, florida, maryland, new jersey, pennsylvania, virginia and washington, d.c.  planned: alabama, georgia, indiana, kentucky, north carolina, ohio and tennessee  former: new york and connecticut"
whirlpool corporation,home appliances,team disney building,"november 11, 1911  111 years ago  1911-11-11  benton harbor, michigan, u.s.",worldwide
wingstop,restaurants,"addison, texas","1994  28 years ago  1994  garland, texas, u.s.",canada france indonesia mexico singapore spain united arab emirates united kingdom united states
wipro,conglomerate,sarjapur road,29 december 1945  76 years ago  29 december 1945 ,worldwide
wirecard,financial services payment processor technology,aschheim,1 january 1999  1999-01-01 ,worldwide
xiaomi,consumer electronics computer hardware,haidian district,6 april 2010  12 years ago  2010-04-06 ,worldwide
xtep,sports equipment,haidian district,2001  21 years ago  2001 ,worldwide
yakult,sports equipment,haidian district,2001  21 years ago  2001 ,
yili group,dairy,"hohhot, inner mongolia",1993  29 years ago  1993 ,
yamaha corporation,dairy,"hamamatsu, shizuoka",12 october 1887  135 years ago  1887-10-12 ,worldwide
yandex,internet search engine mapping streaming services internet retail,moscow,23 september 1997  25 years ago  23 september 1997   yandex search launched by comptek  2000  22 years ago  2000  in cyprus  yandex holding company incorporated  2007  15 years ago  2007   reincorporation of holding company in the netherlands ,"russia, kazakhstan, belarus, uzbekistan, azerbaijan, georgia, armenia, israel, turkey, estonia, iran"
yokohama rubber company,manufacturing,moscow,"october 13, 1917  105 years ago  1917-10-13 ",
yamaha motor company,automotive,moscow,1 may 1955  67 years ago  1955-05-01 ,worldwide
yum brands,foodservice,moscow,"october 6, 1997  25 years ago  october 6, 1997 ",worldwide
zara retailer,retail,moscow,1975  47 years ago  1975   as zorba  in spain,worldwide
zensar technologies,it services,"pune, india",1991[1],
guangzhou zhujiang brewery group,beverages,"pune, india",1985,worldwide
zte,telecommunications equipment networking equipment,,"1985  37 years ago  1985   as zhongxing semiconductor co., ltd. ",worldwide
zippo,manufacturing,bradford,1932  90 years ago  1932 ,
zyxel,telecommunications,hsinchu science park,"1989  33 years ago  1989  in hsinchu, taiwan",worldwide

