name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
dr horton inc,27340000000,dhi,united states,consumer discretionary,residential construction,"arlington,tx,unitedstates", 1978," 11,788",david v auld
sartorius ag,27350000000,srt,germany,healthcare,medical instruments & supplies,"gottingen,germany",," 13,832",joachim kreuzburg
extra space storage inc,27370000000,exr,united states,real estate,reitindustrial,"saltlakecity,ut,unitedstates", 1977," 4,309",joseph daniel margolis jd
sampo oyj,27460000000,sampo,finland,financials,insurancediversified,"helsinki,finland",," 13,340",torbjorn magnusson
caixabank sa,27580000000,cabk,spain,financials,banks,"valencia,spain",," 49,607",gonzalo maria gortazar rotaeche
on semiconductor corporation,27630000000,on,united states,technology,semiconductors,"phoenix,az,unitedstates", 1999," 30,000",hassane s el-khoury
wolters kluwer nv,27650000000,wkl,netherlands,communication services,publishing,"alphenaandenrijn,netherlands",," 19,454",nancy mckinstry
edison international,27670000000,eix,united states,utilities,utilitiesregulated electric,"rosemead,ca,unitedstates", 1886," 13,003",pej pizarro
swiss re ag,27800000000,sren,switzerland,financials,insurancereinsurance,"zurich,switzerland",," 13,985",
thai beverage public company ltd,27810000000,y92,thailand,consumer staples,beverageswineries & distilleries,"bangkok,thailand",,,thapana sirivadhanabhakdi
great-west lifeco inc,27850000000,gwo,canada,financials,insurancelife,"winnipeg,mb,canada", 1891," 28,000",paul anthony mahon
koninklijke philips nv,27890000000,phia,netherlands,healthcare,diagnostics & research,"amsterdam,netherlands", 15 may 1891," 78,189",franaois adrianus van houten
first republic bank,27900000000,frc,united states,financials,banks,"sanfrancisco,ca,unitedstates", 1985," 6,295",michael j roffler
heineken holding nv,22780000000,heio,netherlands,consumer staples,beveragesbrewers,"amsterdam,netherlands",," 82,257",
sabic agri-nutrients company,22780000000,2020,saudi arabia,basic materials,agricultural inputs,"jubail,saudiarabia",,,abdulrahman ahmed shamsaddin
genmab a/s,22830000000,gmab,denmark,healthcare,biotechnology,"copenhagen,denmark",," 1,212",jan gj van de winkel
hengli petrochemical coltd,22860000000,600346,china,consumer discretionary,textile manufacturing,"dalian,china",," 29,522",
ppl corporation,22870000000,ppl,united states,utilities,utilitiesregulated electric,"allentown,pa,unitedstates"," june 4, 1920"," 5,607",vincent sorgi
dover corporation,22940000000,dov,united states,industrials,specialty industrial machinery,"downersgrove,il,unitedstates", 1955," 25,000",richard joseph tobin
vf corporation,22960000000,vfc,united states,consumer discretionary,apparel manufacturing,"greenwoodvillage,co,unitedstates", october 1899," 27,200",steven e rendle
olympus corp,23000000000,7733,japan,healthcare,medical instruments & supplies,"tokyo,japan",," 31,653",yasuo takeuchi
royalty pharma plc,23040000000,rprx,united states,healthcare,biotechnology,"newyork,ny,unitedstates",,,pablo gerardo legorreta
invitation homes inc,23090000000,invh,united states,real estate,reitresidential,"dallas,tx,unitedstates", 2012," 1,240",dallas b tanner
china international capital corp ltd,23130000000,601995,china,financials,capital markets,"beijing,china",," 9,372",zhaohui huang
terumo corp,23160000000,4543,japan,healthcare,medical instruments & supplies,"tokyo,japan",," 26,482",shinjiro sato
societe generale sa,23180000000,gle,france,financials,banks,"paris,france",," 124,089",frederic oudea
wens foodstuff group co ltd,23200000000,300498,china,consumer staples,farm products,"yunfu,china",," 52,809",
fox corporation,23260000000,foxa,united states,communication services,broadcasting,"newyork,ny,unitedstates"," january 1, 2019"," 9,000",lachlan keith murdoch
sany heavy industry co ltd,23270000000,600031,china,industrials,farm & heavy construction machinery,"beijing,china",," 24,586",
carnival corporation & plc,23290000000,ccl,united states,consumer discretionary,travel services,"miami,fl,unitedstates", 1972," 40,000",arnold w donald
huazhu group limited,23340000000,htht,china,consumer discretionary,lodging,"shanghai,china", 2005," 18,352",
garmin ltd,23350000000,grmn,switzerland,technology,scientific & technical instruments,"schaffhausen,switzerland", october 1989," 18,700",clifton albert pemble
united microelectronics corporation,23350000000,2303,taiwan,technology,semiconductors,"hsinchucity,taiwan",," 19,500",
liberty broadband corporation,23400000000,lbrdk,united states,communication services,entertainment,"englewood,co,unitedstates",,,gregory b maffei
formosa plastics corp,23420000000,1301,taiwan,basic materials,specialty chemicals,"kaohsiung,taiwan",,,
fortis inc,23430000000,fts,canada,utilities,utilitiesregulated electric,"st.john's,nf,canada",," 9,095",david gerard hutchens
rocket companies inc,23440000000,rkt,united states,financials,mortgage finance,"detroit,mi,unitedstates", 1985," 26,000",jay d farner
maxim integrated products inc,23440000000,mxim,united states,technology,semiconductors,"sanjose,ca,unitedstates", 1983," 7,100",
mtn group ltd,23450000000,mtn,south africa,communication services,telecom services,"johannesburg,southafrica",," 21,975",ralph tendai mupita bsc mba
kubota corp,23460000000,6326,japan,industrials,farm & heavy construction machinery,"osaka,japan",," 43,293",
first quantum minerals ltd,23470000000,fm,canada,basic materials,copper,"toronto,on,canada", 1983," 20,000",philip kelvin rodda pascall
pt bank mandiri persero tbk,23510000000,pq9,indonesia,financials,banks,"jakarta,indonesia",," 37,840",
beiersdorf ag,23510000000,bei,germany,consumer staples,household & personal products,"hamburg,germany",," 20,567",vincent warnery
sungrow power supply co ltd,23550000000,300274,china,industrials,electrical equipment & parts,"hefei,china",," 4,492",ren xian cao
stanley black & decker inc,23570000000,swk,united states,industrials,tools & accessories,"newbritain,ct,unitedstates", 1843," 71,300",james m loree
baoshan iron & steel co ltd,23590000000,600019,china,basic materials,steel,"shanghai,china",," 47,710",
horizon therapeutics public limited company,23640000000,hznp,ireland,healthcare,drug manufacturersgeneral,"dublin,ireland", 2005," 1,890",timothy p walbert
compagnie generale des etablissements michelin sca,23650000000,ml,france,consumer discretionary,auto parts,"clermont-ferrand,france",," 118,400",florent menegaux
sse plc,23730000000,sse,united kingdom,utilities,utilitiesdiversified,"perth,unitedkingdom", 1998," 11,865",alistair phillips-davies
endesa sa,23780000000,ele,spain,utilities,utilitiesregulated electric,"madrid,spain",," 9,258",jose damian bogas galvez
ventas inc,23810000000,vtr,united states,real estate,reithealthcare facilities,"chicago,il,unitedstates", 1998, 434,debra a cafaro
eve energy co ltd,23820000000,300014,china,industrials,electrical equipment & parts,"huizhou,china",," 9,669",
splunk inc,23840000000,splk,united states,technology,softwareinfrastructure,"sanfrancisco,ca,unitedstates", october 2003," 7,500",graham vivian smith
m3 inc,23890000000,2413,japan,healthcare,health information services,"tokyo,japan",," 8,249",
entergy corporation,23920000000,etr,united states,utilities,utilitiesdiversified,"neworleans,la,unitedstates", 1913," 12,369",leo p denault
steris plc,23930000000,ste,ireland,healthcare,medical instruments & supplies,"dublin,ireland", 1985," 13,000",daniel a carestio
best buy co inc,23930000000,bby,united states,consumer discretionary,specialty retail,"richfield,mn,unitedstates"," august 22, 1966"," 57,750",corie sue barry
csc financial co ltd,23940000000,601066,china,financials,capital markets,"beijing,china",," 9,994",
martin marietta materials inc,23940000000,mlm,united states,basic materials,building materials,"raleigh,nc,unitedstates", 1993," 10,000",c howard nye
orix corporation,23970000000,8591,japan,financials,credit services,"tokyo,japan",," 33,153",makoto inoue
schindler holding ag,24020000000,schn,switzerland,industrials,specialty industrial machinery,"hergiswil,switzerland",," 69,015",silvio napoli
public joint stock company polyus,24020000000,plzl,russia,basic materials,gold,"moscow,russia",,,
mega financial holding co ltd,20210000000,2886,taiwan,financials,banks,"taipei,taiwan",," 9,594",
mgm resorts international,20220000000,mgm,united states,consumer discretionary,resorts & casinos,"lasvegas,nv,unitedstates", 1986," 52,000",william joseph hornbuckle iv
nomura research institute ltd,20260000000,4307,japan,technology,information technology services,"tokyo,japan",," 16,196",shingo konomoto
brown & brown inc,20270000000,bro,united states,financials,insurance brokers,"daytonabeach,fl,unitedstates", 1939," 12,023",j powell brown cpcu cpcu
markel corporation,20300000000,mkl,united states,financials,insuranceproperty & casualty,"glenallen,va,unitedstates", 1930," 20,300",thomas sinnickson gayner
carvana co,20330000000,cvna,united states,consumer discretionary,internet retail,"tempe,az,unitedstates", 2012," 21,000",ernest c garcia iii
nippon paint holdings co ltd,20380000000,4612,japan,basic materials,specialty chemicals,"osaka,japan",," 27,318",
guotai junan securities co ltd,20390000000,601211,china,financials,capital markets,"shanghai,china",," 15,198",
mitsubishi estate co ltd,20390000000,8802,japan,real estate,real estatediversified,"tokyo,japan",," 9,982",junichi yoshida
investment ab latour,20390000000,lato.b,sweden,financials,asset management,"gothenburg,sweden",," 8,001",johan hjertonsson mba
alinma bank,20410000000,1150,saudi arabia,financials,banks,"riyadh,saudiarabia",," 3,280",
synchrony financial,20430000000,syf,united states,financials,credit services,"stamford,ct,unitedstates"," september 12, 2003"," 18,000",brian d doubles
boston properties inc,20540000000,bxp,united states,real estate,reitoffice,"boston,ma,unitedstates", 1970, 743,owen david thomas
sojitz corp,20550000000,2768,japan,industrials,conglomerates,"tokyo,japan",," 19,463",masayoshi fujimoto
flutter entertainment plc,20580000000,fltr,ireland,consumer discretionary,gambling,"dublin,ireland", 2 february 2016," 16,813",jeremy peter jackson
pembina pipeline corporation,20610000000,ppl,canada,energy,oil & gas midstream,"calgary,ab,canada",," 2,349",j scott burrows
kyocera corp,20620000000,6971,japan,technology,consumer electronics,"kyoto,japan",," 78,490",hideo tanimoto
advanced info service pcl,20650000000,advanc,thailand,communication services,telecom services,"bangkok,thailand",,,somchai lertsutiwong
steris corp,20660000000,s1te34,united states,healthcare,medical devices,"mentor,oh,unitedstates",,,walter m rosebrough jr
cenergy corporation,20730000000,cms,united states,utilities,utilitiesregulated electric,"jackson,mi,unitedstates", 1886," 8,504",garrick j rochow
li ning co ltd,20750000000,2331,china,consumer discretionary,leisure,"beijing,china",," 4,019",ning li
standard chartered plc,20780000000,stan,united kingdom,financials,banks,"london,unitedkingdom"," as chartered bank of india, australia, and china on 29 december 1853"," 81,770",
marubeni corp,20780000000,8002,japan,industrials,conglomerates,"tokyo,japan",,,masumi kakinoki
repsol sa,20800000000,rep,spain,energy,oil & gas integrated,"madrid,spain",," 23,268",josu jon imaz san miguel phd
royal caribbean cruises ltd,20810000000,rcl,united states,consumer discretionary,travel services,"miami,fl,unitedstates", 1997 ," 84,900",jason t liberty
applovin corp,20860000000,app,united states,technology,softwareapplication,"paloalto,ca,unitedstates",," 1,594",adam arash foroughi
fortive corporation,20880000000,ftv,united states,technology,scientific & technical instruments,"everett,wa,unitedstates", 2016," 18,000",james a lico
fleetcor technologies inc,20920000000,flt,united states,technology,information technology services,"atlanta,ga,unitedstates", 2000," 9,700",ronald f clarke
hubspot inc,20930000000,hubs,united states,technology,softwareapplication,"cambridge,ma,unitedstates", june 2006," 5,895",yamini rangan
microchip technology incorporated,21030000000,mchp,united states,technology,semiconductors,"chandler,az,unitedstates", 1989," 19,500",ganesh moorthy
yandex nv,21050000000,yndx,netherlands,communication services,internet content & information,"schiphol,netherlands", 23 september 1997," 18,004",arkady volozh
segro plc,21080000000,sgro,united kingdom,real estate,reitindustrial,"london,unitedkingdom", 1920, 385,david john rivers sleath obe
ingersoll rand inc,21130000000,ir,united states,industrials,specialty industrial machinery,"davidson,nc,unitedstates", 1859," 16,000",vicente reynal
china mengniu dairy co ltd,21170000000,2319,hong kong,consumer staples,packaged foods,"causewaybay,hongkong",," 43,397",minfang lu
seagate technology plc,21210000000,stx,ireland,technology,computer hardware,"dublin,ireland"," november 1, 1979"," 40,000",william david mosley
china northern rare earth,21210000000,600111,china,basic materials,other industrial metals & mining,"baotou,china",," 9,111",
viacomcbs inc,21220000000,viaca,united states,communication services,entertainment,"newyork,ny,unitedstates"," december 4, 2019"," 22,965",robert marc bakish
zoominfo technologies inc,21230000000,zi,united states,technology,softwareapplication,"vancouver,wa,unitedstates", 2007," 2,742",henry l schuck
wheaton precious metals corp,21260000000,wpm,canada,basic materials,gold,"vancouver,bc,canada", 2004, 44,randy v j smallwood peng peng
regions financial corporation,21320000000,rf,united states,financials,banks,"birmingham,al,unitedstates", 1971," 19,626",john m turner jr
legal & general group plc,21340000000,lgen,united kingdom,financials,insurancelife,"london,unitedkingdom", 1836," 10,046",nigel david wilson
the cooper companies inc,21350000000,coo,united states,healthcare,medical instruments & supplies,"sanramon,ca,unitedstates", 1958 ," 12,000",albert g white iii
nexon co ltd,21360000000,3659,japan,communication services,electronic gaming & multimedia,"tokyo,japan",," 6,288",owen mahoney
rede d'or sao luiz sa,21400000000,rdor3,brazil,healthcare,medical care facilities,"saopaulo,sp,brazil",,,paulo junqueira moll
teck resources limited,21410000000,teck.b,canada,basic materials,other industrial metals & mining,"vancouver,bc,canada",," 10,600",donald r lindsay bsc honours mba
sgs sa,21430000000,sgsn,switzerland,industrials,consulting services,"geneva,switzerland",," 96,216",
the saudi british bank,21450000000,1060,saudi arabia,financials,banks,"riyadh,saudiarabia",," 4,156",anthony william cripps
mitsui fudosan co ltd,21460000000,8801,japan,real estate,real estatediversified,"tokyo,japan",," 23,992",masanobu komoda
jb hunt transport services inc,21480000000,jbht,united states,industrials,integrated freight & logistics,"lowell,ar,unitedstates"," august 10, 1961"," 33,045",john n roberts iii
veolia environnement sa,18140000000,vie,france,industrials,waste management,"aubervilliers,france",," 171,450",antoine frarot
cez as,18160000000,cez,czechia,                                        utilities                                    ,                                        utilitiesrenewable                                    ,"prague,czechia",," 28,000",engineer daniel benea
yum china holdings inc,18180000000,yumc,china,consumer discretionary,restaurants,"shanghai,china"," november 1, 2016"," 147,000",joey wat
restaurant brands international inc,18190000000,qsr,canada,consumer discretionary,restaurants,"toronto,on,canada"," december 15, 2014"," 5,700",
capitec bank holdings ltd,18210000000,cpi,south africa,financials,banks,"stellenbosch,southafrica",," 14,789",gerhardus metselaar fourie bcom mba bcomm hons mba
asahi group holdings ltd,18210000000,2502,japan,consumer staples,beveragesbrewers,"tokyo,japan",," 30,020",atsushi katsuki
haitong securities co ltd,18230000000,600837,china,financials,capital markets,"shanghai,china",," 11,282",
catalent inc,18240000000,ctlt,united states,healthcare,drug manufacturersspecialty & generic,"somerset,nj,unitedstates", 2007," 17,300",john r chiminski
quanta services inc,18250000000,pwr,united states,industrials,engineering & construction,"houston,tx,unitedstates", 1997," 43,700",earl c austin jr
ubiquiti inc,18250000000,ui,united states,technology,communication equipment,"newyork,ny,unitedstates", october 2003," 1,223",robert j pera
shionogi & co ltd,18270000000,4507,japan,healthcare,drug manufacturersspecialty & generic,"osaka,japan",," 5,485",isao teshirogi phd
link real estate investment trust,18270000000,0823,hong kong,real estate,reitretail,"kwuntong,hongkong",," 1,100",kwok lung hongchoy
aeon co ltd,18320000000,8267,japan,consumer discretionary,department stores,"chiba,japan",," 155,578",
alnylam pharmaceuticals inc,18330000000,alny,united states,healthcare,biotechnology,"cambridge,ma,unitedstates", 2002," 1,665",yvonne l greenstreet mba mba mbchb
china merchants securities co ltd,18350000000,600999,china,financials,capital markets,"shenzhen,china",," 10,169",
take-two interactive software inc,18350000000,ttwo,united states,communication services,electronic gaming & multimedia,"newyork,ny,unitedstates"," september 30, 1993"," 6,495",strauss h zelnick esq
vodacom group ltd,18410000000,vod,south africa,communication services,telecom services,"midrand,southafrica",," 7,642",mohamed shameel aziz joosub
genuine parts company,18410000000,gpc,united states,consumer discretionary,specialty retail,"atlanta,ga,unitedstates", 1925," 52,000",paul d donahue
gf securities co ltd,18440000000,000776,china,financials,capital markets,"guangzhou,china",," 12,307",
heico corporation,18490000000,hei,united states,industrials,aerospace & defense,"hollywood,fl,unitedstates", 1957 as heinicke instruments," 5,600",laurans a mendelson
sands china ltd,18520000000,1928,macao,                                        consumer discretionary                                    ,                                        resorts & casinos                                    ,"taipa,macao",," 25,751",robert glen goldstein
huaneng power international inc,18570000000,600011,china,utilities,utilitiesindependent power producers,"beijing,china", 30 june 1994 in beijing," 57,513",
south32 limited,18670000000,s32,australia,basic materials,other industrial metals & mining,"perth,wa,australia",," 13,576",graham kerr bbus fcpa
jd health international inc,18690000000,8zn,china,healthcare,medical care facilities,"beijing,china",," 2,576",enlin jin
power construction corp of china ltd,18690000000,601669,china,industrials,engineering & construction,"beijing,china",," 132,125",
air china ltd,18720000000,601111,china,industrials,airlines,"beijing,china",," 89,373",
credit suisse group ag,18720000000,csgn,switzerland,financials,banks,"zurich,switzerland", 1856," 50,110",thomas p gottstein
the liberty siriusxm group,18740000000,lsxmb,united states,communication services,broadcasting,"englewood,co,unitedstates", 1991, 84,
ms&ad insurance group holdings inc,18750000000,8725,japan,financials,insuranceproperty & casualty,"tokyo,japan",," 41,501",noriyuki hara
healthpeak properties inc,18760000000,peak,united states,real estate,reithealthcare facilities,"denver,co,unitedstates", 1985, 196,thomas m herzog
netapp inc,18760000000,ntap,united states,technology,computer hardware,"sunnyvale,ca,unitedstates", 1992," 11,000",george kurian
george weston limited,18770000000,wn,canada,consumer staples,grocery stores,"toronto,on,canada"," toronto, ontario, canada 1882"," 215,298",galen g weston ba mba mba
scottish mortgage investment trust plc,18780000000,smt,united kingdom,financials,asset management,, 1909,,
international paper company,18780000000,inpap,united states,consumer discretionary,packaging & containers,"memphis,tn,unitedstates", 1898," 49,300",
aecc aviation power coltd,18790000000,600893,china,industrials,aerospace & defense,"xi'an,china",," 34,977",
omnicom group inc,18800000000,omc,united states,communication services,advertising agencies,"newyork,ny,unitedstates", 1986," 71,700",john d wren
astra international tbk pt,18900000000,asja,indonesia,consumer discretionary,auto parts,"jakarta,indonesia",," 123,894",
lg electronics inc,18910000000,066570,south korea,technology,consumer electronics,"seoul,southkorea",," 37,245",joo-wan cho
toshiba corp,18930000000,6502,japan,industrials,specialty industrial machinery,"tokyo,japan",," 117,300",taro shimada
check point software technologies ltd,18940000000,chkp,israel,technology,softwareinfrastructure,"telaviv,israel", 1993," 6,000",gil shwed
citizens financial group inc,18950000000,cfg,united states,financials,banks,"providence,ri,unitedstates", 1828," 17,463",bruce winfield van saun
tenaris sa,18980000000,ten,luxembourg,                                        energy                                    ,                                        oil & gas equipment & services                                    ,"luxembourgcity,luxembourg", 2001," 22,776",paolo rocca
otsuka holdings co ltd,19030000000,4578,japan,healthcare,drug manufacturersgeneral,"tokyo,japan",," 33,151",tatsuo higuchi
waters corporation,19110000000,wat,united states,healthcare,diagnostics & research,"milford,ma,unitedstates", 1958," 7,800",udit batra phd
nice ltd,19120000000,nice,israel,technology,softwareapplication,"raaanana,israel", 1986," 6,800",
carlsberg a-s,19120000000,carl.a,denmark,consumer staples,beveragesbrewers,"copenhagen,denmark",," 39,000",cees c a t hart
ss&c technologies holdings inc,19150000000,ssnc,united states,technology,softwareapplication,"windsor,ct,unitedstates"," march 1, 1986"," 24,900",william c stone
zhejiang huayou cobalt co ltd,19200000000,603799,china,basic materials,other industrial metals & mining,"tongxiang,china",," 8,079",
warner music group corp,19210000000,wmg,united states,communication services,entertainment,"newyork,ny,unitedstates"," april 6, 1958"," 5,900",stephen forbes cooper
equinor asa,122740000000,eqnr,norway,                                        energy                                    ,                                        oil & gas integrated                                    ,"stavanger,norway", 14 june 1972," 21,126",anders opedal
aia group ltd,125160000000,1299,hong kong,financials,insurancelife,"central,hongkong",," 23,000",
lockheed martin corporation,124980000000,lmt,united states,industrials,aerospace & defense,"bethesda,md,unitedstates"," march 15, 1995"," 114,000",james d taiclet jr
caterpillar inc,124130000000,cat,united states,industrials,farm & heavy construction machinery,"deerfield,il,unitedstates"," april 15, 1925"," 107,700",d james umpleby iii
anheuser-busch inbev sa/nv,123590000000,abi,belgium,consumer staples,beveragesbrewers,"leuven,belgium",," 169,339",
christian dior se,122110000000,cdi,france,consumer discretionary,luxury goods,"paris,france",," 119,243",sidney toledano
rio tinto group,125840000000,rio,united kingdom,basic materials,other industrial metals & mining,"london,unitedkingdom", 1873," 49,000",jakob stausholm ms ms
sony group corporation,126640000000,6758,japan,technology,consumer electronics,"tokyo,japan", 7 may 1946," 109,700",kenichiro yoshida
the boeing company,110460000000,ba,united states,industrials,aerospace & defense,"chicago,il,unitedstates"," july 15, 1916"," 142,000",david l calhoun
industria de diseno textil sa,110650000000,itx,spain,consumer discretionary,apparel retail,"corunna,spain",," 104,431",oscar garcia maceiras
transurban group,110790000000,tcl,australia,industrials,infrastructure operations,"melbourne,vic,australia"," 14 march 1996, melbourne", 672,scott charlton mba bsci beng elec mba member of fei fta
the goldman sachs group inc,112710000000,gs,united states,financials,capital markets,"newyork,ny,unitedstates", 1869," 43,900",david solomon
keyence corp,113200000000,6861,japan,technology,scientific & technical instruments,"osaka,japan",," 8,380",
meituan,114280000000,3690,china,consumer discretionary,internet retail,"beijing,china",," 69,205",xing wang
china life insurance company limited,97310000000,lfc,china,financials,insurancelife,"beijing,china", 1949," 104,160",
intuit inc,126770000000,intu,united states,technology,softwareapplication,"mountainview,ca,unitedstates", 1983," 13,500",sasan k goodarzi
danaher corporation,208030000000,dhr,united states,healthcare,diagnostics & research,"washington,dc,unitedstates", 1969," 78,000",rainer m blair
merck & co inc,210380000000,mrk,united states,healthcare,drug manufacturersgeneral,"kenilworth,nj,unitedstates", 1891," 67,000",robert m davis jd
bhp group,211250000000,bhp,australia,basic materials,other industrial metals & mining,"melbourne,vic,australia", 1885," 40,110",mike p henry bsc bsc chem
nike inc,213600000000,nke,united states,consumer discretionary,footwear & accessories,"beaverton,or,unitedstates"," january 25, 1964"," 73,300",john j donahoe ii
abbott laboratories,215020000000,abt,united states,healthcare,medical devices,"northchicago,il,unitedstates", 1888," 113,000",robert b ford
verizon communications inc,216680000000,vz,united states,communication services,telecom services,"newyork,ny,unitedstates"," october 7, 1983"," 118,400",hans e vestberg
comcast corporation,218900000000,cmcsa,united states,communication services,entertainment,"philadelphia,pa,unitedstates"," june 28, 1963"," 189,000",brian l roberts
accenture plc,219030000000,acn,ireland,technology,information technology services,"dublin,ireland", 1989," 699,000",julie t spellman sweet
l'oreal sa,225240000000,or,france,consumer staples,household & personal products,"clichy,france",," 85,400",nicolas hieronimus
oracle corporation,228180000000,orcl,united states,technology,softwareinfrastructure,"redwoodcity,ca,unitedstates"," june 16, 1977"," 132,000",safra ada catz
thermo fisher scientific inc,236150000000,tmo,united states,healthcare,diagnostics & research,"waltham,ma,unitedstates", 1956," 130,000",marc n casper
cisco systeinc,238450000000,csco,united states,technology,communication equipment,"sanjose,ca,unitedstates"," december 10, 1984"," 79,500",charles h robbins
pepsico inc,241050000000,pep,united states,consumer staples,beveragesnon-alcoholic,"purchase,ny,unitedstates"," august 28, 1898"," 309,000",ramon luis laguarta
the walt disney company,247880000000,dis,united states,communication services,entertainment,"burbank,ca,unitedstates"," october 16, 1923"," 152,000",robert a chapek
industrial & commercial bank of china ltd,250370000000,601398,china,financials,banks,"beijing,china",," 439,787",
novo nordisk a/s,257240000000,novo.b,denmark,healthcare,biotechnology,"bagsvaerd,denmark"," december 21, 1923"," 47,792",lars fruergaard jorgensen
costco wholesale corporation,258149999999,cost,united states,consumer staples,discount stores,"issaquah,wa,unitedstates"," july 12, 1976"," 288,000",w craig jelinek
broadcom inc,265269999999,avgo,united states,technology,semiconductors,"sanjose,ca,unitedstates", 1961," 20,000",hock e tan
eli lilly and company,273010000000,lly,united states,healthcare,drug manufacturersgeneral,"indianapolis,in,unitedstates", 1876," 35,000",david a ricks
the coca-cola company,273200000000,ko,united states,consumer staples,beveragesnon-alcoholic,"atlanta,ga,unitedstates"," january 29, 1892"," 79,000",james robert b quincey
asml holding nv,274350000000,asml,netherlands,technology,semiconductor equipment & materials,"veldhoven,netherlands", 1984," 29,861",peter t f m wennink
alibaba group holding limited,290400000000,9988,china,consumer discretionary,internet retail,"hangzhou,china", 28 june 1999," 259,316",yong zhang
abbvie inc,294270000000,abbv,united states,healthcare,drug manufacturersgeneral,"northchicago,il,unitedstates", 2013," 50,000",richard a gonzalez
pfizer inc,300790000000,pfe,united states,healthcare,drug manufacturersgeneral,"newyork,ny,unitedstates", 1849," 79,000",albert bourla dvm dvm phd
chevron corporation,315130000000,cvx,united states,energy,oil & gas integrated,"sanramon,ca,unitedstates"," september 10, 1879"," 42,595",michael k wirth
the home depot inc,321470000000,hd,united states,consumer discretionary,home improvement retail,"atlanta,ga,unitedstates"," february 6, 1978"," 490,600",edward p decker
kweichow moutai co ltd,348220000000,600519,china,consumer staples,beverageswineries & distilleries,"renhuai,china",," 29,031",
exxon mobil corporation,348720000000,xom,united states,energy,oil & gas integrated,"irving,tx,unitedstates"," november 30, 1999"," 63,000",darren w woods
roche holding ag,349500000000,rog,switzerland,healthcare,drug manufacturersgeneral,"basel,switzerland",," 100,920",severin schwan phd
bank of america corporation,350840000000,bac,united states,financials,banks,"charlotte,nc,unitedstates", 1998," 208,000",brian thomas moynihan
mastercard incorporated,358600000000,ma,united states,financials,credit services,"purchase,ny,unitedstates", 1966," 24,000",michael miebach
lvmh moet hennessy - louis vuitton se,359260000000,mc,france,consumer discretionary,luxury goods,"paris,france",," 148,343",bernard arnault
samsung electronics co ltd,378350000000,005930,south korea,technology,consumer electronics,"suwon-si,southkorea",,,jong-hee han
the procter & gamble company,384600000000,pg,united states,consumer staples,household & personal products,"cincinnati,oh,unitedstates"," october 31, 1837"," 101,000",jon r moeller
jpmorgan chase & co,410840000000,jpm,united states,financials,banks,"newyork,ny,unitedstates"," december 1, 2000"," 271,025",james dimon
walmart inc,429050000000,wmt,united states,consumer staples,discount stores,"bentonville,ar,unitedstates"," july 2, 1962"," 2,300,000",c douglas mcmillon
tencent holdings ltd,441170000000,0700,china,communication services,internet content & information,"shenzhen,china",," 112,771",huateng pony ma
johnson & johnson,475930000000,jnj,united states,healthcare,drug manufacturersgeneral,"newbrunswick,nj,unitedstates", january 1886," 141,700",joaquin duato
visa inc,486770000000,v,united states,financials,credit services,"sanfrancisco,ca,unitedstates"," september 18, 1958"," 21,500",alfred francis kelly jr
unitedhealth group incorporated,488520000000,unh,united states,healthcare,healthcare plans,"minnetonka,mn,unitedstates", 1977," 350,000",sir andrew philip witty
taiwan semiconductor manufacturing company limited,527890000000,2330,taiwan,technology,semiconductors,"hsinchu,taiwan"," industrial technology research institute, hsinchu, taiwan.1987"," 54,193",c c wei
meta platforinc,617500000000,meta,united states,communication services,internet content & information,"menlopark,ca,unitedstates"," january 4, 2004"," 71,970",mark elliot zuckerberg
nvidia corporation,660380000000,nvda,united states,technology,semiconductors,"santaclara,ca,unitedstates"," april 5, 1993"," 22,473",jen-hsun huang
berkshire hathaway inc,798470000000,brk.a,united states,financials,financial conglomerates,"omaha,ne,unitedstates", 1839," 372,000",warren e buffett
tesla inc,1016000000000,tsla,united states,consumer discretionary,auto manufacturers,"paloalto,ca,unitedstates"," july 1, 2003"," 99,290",elon r musk
amazoncom inc,1642000000000,amzn,united states,consumer discretionary,internet retail,"seattle,wa,unitedstates"," july 5, 1994"," 1,608,000",andrew r jassy
alphabet inc,1825000000000,goog,united states,communication services,internet content & information,"mountainview,ca,unitedstates"," october 2, 2015"," 156,500",sundar pichai
saudi arabian oil company,2297000000000,2222,saudi arabia,energy,oil & gas integrated,"dhahran,saudiarabia",,,amin h nasser
microsoft corporation,2328000000000,msft,united states,technology,softwareinfrastructure,"redmond,wa,unitedstates"," april 4, 1975"," 181,000",satya nadella
apple inc,2825000000000,aapl,united states,technology,consumer electronics,"cupertino,ca,unitedstates"," april 1, 1976"," 100,000",timothy d cook
advanced micro devices inc,128289999999,amd,united states,technology,semiconductors,"santaclara,ca,unitedstates"," may 1, 1969"," 15,500",lisa t su phd
deere & company,130310000000,de,united states,industrials,farm & heavy construction machinery,"moline,il,unitedstates", 1837," 75,550",john c may ii
sanofi,132289999999,san,france,healthcare,drug manufacturersgeneral,"paris,france", 1973," 95,442",paul hudson
paypal holdings inc,133919999999,pypl,united states,financials,credit services,"sanjose,ca,unitedstates", december 1998," 30,900",daniel h schulman
sap se,134190000000,sap,germany,technology,softwareapplication,"walldorf,germany"," weinheim, germany1972"," 107,415",christian klein
ping an insurance group company of china ltd,134250000000,601318,china,financials,insurancelife,"shenzhen,china",," 355,982",bo yao
