name,market_capitalization_usd,stock,country,sector,industry
repsol sa,20800000000,rep,spain,energy,oil & gas integrated
marubeni corp,20780000000,8002,japan,industrials,conglomerates
standard chartered plc,20780000000,stan,united kingdom,financials,banks
li ning co ltd,20750000000,2331,china,consumer discretionary,leisure
cenergy corporation,20730000000,cms,united states,utilities,utilitiesregulated electric
steris corp,20660000000,s1te34,united states,healthcare,medical devices
advanced info service pcl,20650000000,advanc,thailand,communication services,telecom services
kyocera corp,20620000000,6971,japan,technology,consumer electronics
pembina pipeline corporation,20610000000,ppl,canada,energy,oil & gas midstream
flutter entertainment plc,20580000000,fltr,ireland,consumer discretionary,gambling
sojitz corp,20550000000,2768,japan,industrials,conglomerates
boston properties inc,20540000000,bxp,united states,real estate,reitoffice
synchrony financial,20430000000,syf,united states,financials,credit services
alinma bank,20410000000,1150,saudi arabia,financials,banks
investment ab latour,20390000000,lato.b,sweden,financials,asset management
mitsubishi estate co ltd,20390000000,8802,japan,real estate,real estatediversified
guotai junan securities co ltd,20390000000,601211,china,financials,capital markets
nippon paint holdings co ltd,20380000000,4612,japan,basic materials,specialty chemicals
carvana co,20330000000,cvna,united states,consumer discretionary,internet retail
markel corporation,20300000000,mkl,united states,financials,insuranceproperty & casualty
brown & brown inc,20270000000,bro,united states,financials,insurance brokers
nomura research institute ltd,20260000000,4307,japan,technology,information technology services
mgm resorts international,20220000000,mgm,united states,consumer discretionary,resorts & casinos
mega financial holding co ltd,20210000000,2886,taiwan,financials,banks
telefonica brasil sa,20190000000,viv,brazil,communication services,telecom services
swiss life holding ag,20160000000,slhn,switzerland,financials,insurancediversified
telenor asa,20150000000,tel,norway,communication services,telecom services
china railway group ltd,20150000000,0390,hong kong,industrials,engineering & construction
ctbc financial holding co ltd,20150000000,2891,taiwan,financials,insurancelife
imperial brands plc,20140000000,imb,united kingdom,consumer staples,tobacco
principal financial group inc,20130000000,pfg,united states,financials,insurancediversified
norsk hyasa,20100000000,nhy,norway,basic materials,aluminum
perkinelmer inc,20050000000,pki,united states,healthcare,diagnostics & research
hannover ruck se,20020000000,hnrb,germany,financials,insurancereinsurance
sun communities inc,19980000000,sui,united states,real estate,reitresidential
tradeweb markets inc,19980000000,tw,united states,financials,capital markets
trina solar co ltd,19940000000,688599,china,technology,solar
vedanta limited,19930000000,vedl,india,basic materials,other industrial metals & mining
paycom software inc,19870000000,payc,united states,technology,softwareapplication
klabin sa,19860000000,klbn11,brazil,basic materials,paper & paper products
kao corp,19850000000,4452,japan,consumer staples,household & personal products
teradyne inc,19850000000,ter,united states,technology,semiconductor equipment & materials
china resources beer holdings company ltd,19840000000,0291,hong kong,consumer staples,beveragesbrewers
china communications construction co ltd,19830000000,601800,china,industrials,engineering & construction
aviva plc,19820000000,av.,united kingdom,financials,insurancediversified
standard bank group ltd,19820000000,sbk,south africa,financials,banks
ryanair holdings plc,19780000000,ry4c,ireland,industrials,airlines
hologic inc,19750000000,holx,united states,healthcare,medical instruments & supplies
kerry group plc,19740000000,krz,ireland,consumer staples,packaged foods
renesas electronics corp,19730000000,6723,japan,technology,semiconductors
brookfield infrastructure partners lp,19700000000,bip.un,bermuda,utilities,utilitiesdiversified
shiseido co ltd,19690000000,4911,japan,consumer staples,household & personal products
cgi inc,19670000000,gib.a,canada,technology,information technology services
henderson land development co ltd,19670000000,0012,hong kong,real estate,real estate services
billcom holdings inc,19650000000,bill,united states,technology,softwareapplication
shanghai fosun pharmaceutical,19630000000,600196,china,healthcare,drug manufacturersspecialty & generic
akamai technologies inc,19590000000,akam,united states,technology,softwareinfrastructure
china tower corp ltd,19550000000,0788,china,communication services,telecom services
huatai securities co ltd,19550000000,601688,china,financials,capital markets
marathon oil corporation,19540000000,mro,united states,energy,oil & gas e&p
arch capital group ltd,19540000000,acgl,bermuda,financials,insurancediversified
transunion,19530000000,tru,united states,industrials,consulting services
jbs sa,19530000000,jbss3,brazil,consumer staples,packaged foods
shenzhou international group holdings ltd,19500000000,2313,hong kong,consumer discretionary,textile manufacturing
avantor inc,19480000000,avtr,united states,basic materials,specialty chemicals
molina healthcare inc,19460000000,moh,united states,healthcare,healthcare plans
ferrovial sa,19440000000,fer,spain,industrials,infrastructure operations
edp - energias de portugal sa,19430000000,edp,portugal,utilities,utilitiesdiversified
fresenius medical care ag & co kgaa,19420000000,fme,germany,healthcare,medical care facilities
svenska handelsbanken ab,19420000000,shb.a,sweden,financials,banks
kb financial group inc,19390000000,105560,south korea,financials,banks
magna international inc,19360000000,mg,canada,consumer discretionary,auto parts
snam spa,19270000000,srg,italy,utilities,utilitiesregulated gas
cgn power co ltd,19250000000,003816,china,utilities,utilitiesindependent power producers
croda international plc,19220000000,crda,united kingdom,basic materials,specialty chemicals
warner music group corp,19210000000,wmg,united states,communication services,entertainment
zhejiang huayou cobalt co ltd,19200000000,603799,china,basic materials,other industrial metals & mining
ss&c technologies holdings inc,19150000000,ssnc,united states,technology,softwareapplication
carlsberg a-s,19120000000,carl.a,denmark,consumer staples,beveragesbrewers
nice ltd,19120000000,nice,israel,technology,softwareapplication
waters corporation,19110000000,wat,united states,healthcare,diagnostics & research
otsuka holdings co ltd,19030000000,4578,japan,healthcare,drug manufacturersgeneral
tenaris sa,18980000000,ten,luxembourg,energy,oil & gas equipment & services
citizens financial group inc,18950000000,cfg,united states,financials,banks
check point software technologies ltd,18940000000,chkp,israel,technology,softwareinfrastructure
toshiba corp,18930000000,6502,japan,industrials,specialty industrial machinery
lg electronics inc,18910000000,066570,south korea,technology,consumer electronics
astra international tbk pt,18900000000,asja,indonesia,consumer discretionary,auto parts
omnicom group inc,18800000000,omc,united states,communication services,advertising agencies
aecc aviation power coltd,18790000000,600893,china,industrials,aerospace & defense
international paper company,18780000000,inpap,united states,consumer discretionary,packaging & containers
scottish mortgage investment trust plc,18780000000,smt,united kingdom,financials,asset management
george weston limited,18770000000,wn,canada,consumer staples,grocery stores
netapp inc,18760000000,ntap,united states,technology,computer hardware
healthpeak properties inc,18760000000,peak,united states,real estate,reithealthcare facilities
ms&ad insurance group holdings inc,18750000000,8725,japan,financials,insuranceproperty & casualty
the liberty siriusxm group,18740000000,lsxmb,united states,communication services,broadcasting
credit suisse group ag,18720000000,csgn,switzerland,financials,banks
air china ltd,18720000000,601111,china,industrials,airlines
power construction corp of china ltd,18690000000,601669,china,industrials,engineering & construction
jd health international inc,18690000000,8zn,china,healthcare,medical care facilities
south32 limited,18670000000,s32,australia,basic materials,other industrial metals & mining
huaneng power international inc,18570000000,600011,china,utilities,utilitiesindependent power producers
sands china ltd,18520000000,1928,macao,consumer discretionary,resorts & casinos
heico corporation,18490000000,hei,united states,industrials,aerospace & defense
gf securities co ltd,18440000000,000776,china,financials,capital markets
genuine parts company,18410000000,gpc,united states,consumer discretionary,specialty retail
vodacom group ltd,18410000000,vod,south africa,communication services,telecom services
take-two interactive software inc,18350000000,ttwo,united states,communication services,electronic gaming & multimedia
china merchants securities co ltd,18350000000,600999,china,financials,capital markets
alnylam pharmaceuticals inc,18330000000,alny,united states,healthcare,biotechnology
aeon co ltd,18320000000,8267,japan,consumer discretionary,department stores
link real estate investment trust,18270000000,0823,hong kong,real estate,reitretail
shionogi & co ltd,18270000000,4507,japan,healthcare,drug manufacturersspecialty & generic
ubiquiti inc,18250000000,ui,united states,technology,communication equipment
quanta services inc,18250000000,pwr,united states,industrials,engineering & construction
catalent inc,18240000000,ctlt,united states,healthcare,drug manufacturersspecialty & generic
haitong securities co ltd,18230000000,600837,china,financials,capital markets
asahi group holdings ltd,18210000000,2502,japan,consumer staples,beveragesbrewers
capitec bank holdings ltd,18210000000,cpi,south africa,financials,banks
restaurant brands international inc,18190000000,qsr,canada,consumer discretionary,restaurants
yum china holdings inc,18180000000,yumc,china,consumer discretionary,restaurants
cez as,18160000000,cez,czechia,utilities,utilitiesrenewable
veolia environnement sa,18140000000,vie,france,industrials,waste management
avis budget group inc,18120000000,car,united states,industrials,rental & leasing services

