name,rank,marketcap,country,share_price,change1d,change1y,categories
lasertec,935,18280000000.0,japan,202.0,-0.38%,-21.52%,semiconductors tech tech-hardware 
kao,927,18400000000.0,japan,40.0,0.77%,-19.67%,cosmetics consumer-goods 
kyocera,934,18280000000.0,japan,50.0,2.00%,-18.54%,
tata steel,926,18400000000.0,india,1.0,2.60%,-90.87%,steel-producers steel-industry 
eisai,924,18510000000.0,japan,64.0,2.34%,19.96%,pharmaceuticals 
toyota industries,920,18600000000.0,japan,59.0,1.31%,-29.61%,
chewy,917,18640000000.0,usa,44.0,0.27%,-1.83%,internet e-commerce tech 
kanzhun,915,18680000000.0,china,23.0,-0.76%,-19.56%,staffing-employment 
brookfield renewable partners,914,18700000000.0,,29.0,0.21%,-10.96%,energy renewable-energy electricity 
george weston,923,18520000000.0,canada,127.0,-0.55%,14.79%,food 
hindustan zinc,910,18790000000.0,india,4.0,3.97%,1.14%,
icon plc,913,18740000000.0,ireland,229.0,1.84%,-13.81%,pharmaceuticals 
aes,922,18590000000.0,usa,27.0,0.89%,20.75%,electricity energy 
geberit,925,18490000000.0,switzerland,535.0,0.36%,-24.87%,
cp all,911,18770000000.0,thailand,2.0,-0.36%,18.75%,retail supermarkets 
clp group,921,18600000000.0,hong-kong,7.0,0.44%,-26.40%,electricity energy 
posco,919,18610000000.0,south-korea,61.0,0.12%,-1.80%,steel-producers steel-industry 
mengniu dairy,916,18660000000.0,china,4.0,-0.81%,-20.81%,food dairy 
formosa plastics,918,18620000000.0,taiwan,2.0,0.34%,-23.90%,chemicals 
vmware,294,53830000000.0,usa,125.0,0.74%,0.58%,tech software 
magna international,912,18760000000.0,canada,65.0,0.71%,-26.31%,automotive-suppliers 
mckesson,292,54350000000.0,usa,383.0,-0.04%,49.43%,healthcare 
powergrid corporation of india,907,18840000000.0,india,2.0,0.43%,-2.53%,electricity infrastructure 
sun communities,908,18820000000.0,usa,149.0,-0.26%,-24.67%,real-estate investment reit 
wabtec,904,18900000000.0,usa,103.0,0.67%,8.59%,
garmin,903,18920000000.0,switzerland,98.0,0.99%,-25.40%,
tata motors,905,18890000000.0,india,24.0,-0.50%,-28.51%,automakers 
valero energy,296,53700000000.0,usa,139.0,1.22%,63.49%,energy oil-gas 
conagra brands,909,18820000000.0,usa,39.0,-1.32%,12.50%,food 
west pharmaceutical,901,18950000000.0,usa,255.0,1.17%,-32.60%,pharmaceuticals packaging 
pernod ricard,298,53490000000.0,france,208.0,-2.26%,-9.12%,alcoholic-beverages cac-40 beverages 
united heavy machinery,297,53580000000.0,russia,63.0,-1.34%,3.91%,machinery-manufacturing manufacturing 
deutsche post,293,53980000000.0,germany,44.0,1.87%,-28.33%,delivery-services dax 
markel,902,18930000000.0,usa,1.0,0.33%,10.28%,insurance investment 
monster beverage,295,53810000000.0,usa,103.0,0.87%,14.63%,beverages 
life insurance corporation of india lic,291,55020000000.0,india,8.0,0.13%,,insurance 
mercadolibre,289,55300000000.0,,1.0,2.78%,-2.05%,e-commerce internet tech 
thomson reuters,282,56860000000.0,canada,118.0,0.30%,8.21%,media-press 
bharti airtel,280,56980000000.0,india,9.0,1.42%,-2.45%,telecommunication 
industrial bank,287,55930000000.0,china,2.0,-0.88%,-16.72%,banks financial-services 
heineken,286,55970000000.0,netherlands,97.0,-2.36%,-18.14%,alcoholic-beverages beverages 
eni,288,55500000000.0,italy,31.0,1.22%,3.72%,energy oil-gas 
enterprise products,285,55980000000.0,usa,25.0,0.72%,7.27%,oil-gas energy 
relx,279,57170000000.0,united-kingdom,29.0,2.05%,-1.06%,professional-services 
foshan haitian flavouring and food,277,57440000000.0,china,12.0,-1.70%,-23.36%,food 
metlife,284,56260000000.0,usa,71.0,0.20%,4.89%,insurance 
tokyo electron,290,55060000000.0,japan,353.0,1.71%,-38.31%,electronics semiconductors tech tech-hardware 
the saudi national bank,278,57340000000.0,saudi-arabia,12.0,-2.22%,-33.61%,banks financial-services 
verbund ag,283,56480000000.0,,81.0,1.70%,-25.08%,electricity utility-companies energy 
pioneer natural resources,276,57540000000.0,usa,242.0,1.80%,12.28%,oil-gas energy 
santander,281,56920000000.0,spain,3.0,1.50%,-8.40%,banks financial-services 
marathon petroleum,270,58350000000.0,usa,124.0,2.25%,66.59%,
hong kong exchanges & clearing,271,58220000000.0,hong-kong,45.0,0.00%,-20.70%,stock-exchanges financial-services exchanges 
sumitomo mitsui financial group,268,58760000000.0,japan,8.0,-0.40%,14.22%,banks financial-services 
norfolk southern,266,59620000000.0,usa,257.0,0.34%,-10.67%,railways infrastructure 
netease,269,58740000000.0,china,89.0,0.42%,-13.47%,video-games entertainment tech 
westpac banking,275,58020000000.0,australia,16.0,-0.46%,7.17%,banks financial-services 
midea,263,60150000000.0,china,8.0,-0.69%,-25.22%,home-and-kitchen-appliances manufacturing 
moody's,273,58070000000.0,usa,317.0,1.10%,-10.33%,financial-services 
fast retailing,262,60180000000.0,japan,588.0,2.74%,3.42%,clothing retail 
housing development finance corporation,259,60420000000.0,india,33.0,1.78%,-8.97%,financial-services banks 
uber,267,59220000000.0,usa,29.0,1.70%,-28.46%,ridesharing internet tech transportation 
china telecom,272,58210000000.0,china,0.0,0.87%,21.62%,telecommunication 
activision blizzard,274,58040000000.0,usa,74.0,-0.53%,13.42%,video-games esports entertainment tech 
anglo american,265,59820000000.0,united-kingdom,44.0,2.01%,-2.97%,mining 
kkr & co,261,60370000000.0,usa,53.0,0.50%,-22.49%,investment 
southern copper,264,59850000000.0,usa,77.0,2.67%,14.19%,mining 
safran,258,60510000000.0,france,141.0,2.09%,10.48%,cac-40 aerospace defense-contractors 
intercontinental exchange,253,60700000000.0,usa,108.0,1.19%,-14.15%,stock-exchanges financial-services exchanges 
charter communications,260,60420000000.0,usa,388.0,-0.05%,-36.13%,telecommunication 
humana,246,62350000000.0,usa,492.0,0.42%,25.75%,insurance 
pnc financial services,248,61920000000.0,usa,153.0,-5.13%,-30.90%,banks financial-services 
occidental petroleum,255,60590000000.0,usa,66.0,3.01%,87.75%,oil-gas energy 
scotiabank,245,62540000000.0,canada,52.0,0.94%,-28.60%,banks financial-services 
siemens healthineers,256,60570000000.0,germany,54.0,0.02%,-20.36%,healthcare dax 
truist financial,247,62260000000.0,usa,46.0,-0.47%,-30.38%,banks financial-services 
bayer,254,60650000000.0,germany,61.0,0.00%,3.11%,pharmaceuticals chemicals dax biotech 
emirates telecom etisalat group,251,61090000000.0,united-arab-emirates,7.0,1.18%,-13.65%,telecommunication 
kla,257,60530000000.0,usa,427.0,2.69%,-4.01%,semiconductors tech tech-hardware 
blackstone group,244,62780000000.0,usa,86.0,1.26%,-25.11%,investment 
mindray,252,60990000000.0,china,50.0,-0.65%,-5.15%,medical-devices manufacturing 
atlas copco,250,61290000000.0,sweden,11.0,2.28%,-17.26%,manufacturing 
investor ab,249,61570000000.0,sweden,19.0,-0.79%,-17.64%,investment conglomerate 
micron technology,243,63010000000.0,usa,57.0,1.58%,-40.68%,tech tech-hardware semiconductors 
abb,235,64550000000.0,switzerland,34.0,1.44%,-7.39%,engineering 
eaton,234,64750000000.0,ireland,162.0,0.25%,-4.74%,conglomerate 
lam research,228,65540000000.0,usa,480.0,2.04%,-34.15%,semiconductors tech tech-hardware 
colgate-palmolive,233,64780000000.0,usa,77.0,-0.84%,-7.05%,consumer-goods 
airbnb,231,64950000000.0,usa,102.0,1.29%,-37.45%,travel internet online-travel tech 
cme group,238,64019999999.0,usa,177.0,1.13%,-20.26%,stock-exchanges financial-services exchanges 
sherwin-williams,237,64310000000.0,usa,248.0,0.15%,-19.54%,paint-and-coating 
nongfu spring,240,63510000000.0,china,5.0,0.80%,1.62%,beverages 
vinci,239,63790000000.0,france,113.0,1.34%,1.32%,cac-40 construction 
daiichi sankyo,242,63080000000.0,japan,32.0,4.14%,40.34%,pharmaceuticals biotech 
crown castle,232,64920000000.0,usa,149.0,-0.26%,-18.59%,real-estate investment reit telecommunication infrastructure 
enel,236,64440000000.0,italy,6.0,0.57%,-19.67%,electricity utility-companies energy 
freeport-mcmoran,229,65269999999.0,usa,45.0,3.44%,3.61%,mining 
waste management,241,63170000000.0,usa,153.0,-0.30%,-1.75%,waste-recycling 
state bank of india,230,64959999999.0,india,7.0,-0.25%,5.35%,banks financial-services 
kddi,223,65819999999.0,japan,30.0,1.45%,-2.89%,telecommunication 
csx corporation,212,68960000000.0,usa,32.0,0.63%,-9.98%,railways transportation infrastructure 
aon,224,65760000000.0,united-kingdom,317.0,0.31%,16.26%,professional-services insurance 
ubs,213,68830000000.0,switzerland,21.0,1.98%,10.24%,banks financial-services 
air products and chemicals,214,68280000000.0,usa,307.0,0.40%,5.58%,chemicals 
america movil,222,66120000000.0,mexico,20.0,0.87%,2.35%,telecommunication 
walmex,217,66709999999.0,mexico,3.0,-2.07%,9.86%,retail supermarkets 
bmw,227,65569999999.0,germany,99.0,-0.11%,-11.69%,automakers dax manufacturing 
boston scientific,225,65750000000.0,usa,45.0,-0.29%,2.33%,medical-devices 
fiserv,218,66700000000.0,usa,105.0,0.99%,-3.73%,financial-services tech 
equinix,226,65730000000.0,usa,710.0,-1.07%,-4.88%,internet tech reit real-estate investment 
dbs group,215,68170000000.0,singapore,26.0,0.46%,-0.79%,banks financial-services 
bank central asia,216,67580000000.0,indonesia,0.0,-0.30%,1.85%,banks financial-services 
postal savings bank of china,219,66470000000.0,china,0.0,1.67%,-16.09%,banks financial-services 
general dynamics,221,66319999999.0,usa,241.0,0.18%,13.36%,defense-contractors 
canadian natural resources,220,66410000000.0,canada,59.0,2.50%,15.33%,oil-gas energy 
alpha dhabi,209,69530000000.0,united-arab-emirates,6.0,-1.77%,2.06%,conglomerate 
3m,206,69770000000.0,usa,126.0,-0.29%,-29.38%,dow-jones glove-ppe 
ebay,693,25580000000.0,usa,47.0,0.81%,-25.69%,internet e-commerce tech 
china tourism group duty free,203,70380000000.0,china,34.0,-0.73%,14.14%,retail 
national australia bank,208,69560000000.0,australia,22.0,0.00%,4.01%,banks financial-services 
ulta beauty,697,25420000000.0,usa,499.0,1.02%,33.42%,retail cosmetics 
partners group,700,25340000000.0,switzerland,971.0,0.69%,-34.57%,investment 
zurich insurance group,202,70640000000.0,switzerland,476.0,0.11%,-0.90%,insurance 
saudi electricity,696,25550000000.0,saudi-arabia,6.0,-0.26%,-10.51%,electricity energy 
bank of montreal,205,70010000000.0,canada,99.0,0.88%,-15.73%,banks financial-services 
cnooc,210,69160000000.0,china,1.0,3.24%,16.81%,oil-gas energy 
china yangtze power,204,70250000000.0,china,3.0,0.10%,-13.20%,electricity utility-companies 
bridgestone,699,25360000000.0,japan,37.0,1.35%,-18.11%,tires 
northrop grumman,207,69610000000.0,usa,452.0,-0.72%,12.10%,aerospace defense-contractors 
softbank,211,69040000000.0,japan,47.0,2.42%,-2.40%,investment financial-services telecommunication conglomerate 
riyad bank,698,25370000000.0,saudi-arabia,8.0,0.16%,2.55%,banks financial-services 
telkom indonesia,695,25560000000.0,indonesia,25.0,0.00%,-13.04%,telecommunication 
china securities,683,25900000000.0,china,3.0,-0.52%,-9.32%,
horizon therapeutics,690,25680000000.0,ireland,113.0,0.04%,24.20%,pharmaceuticals 
sandvik,680,26010000000.0,sweden,20.0,2.52%,-25.53%,engineering machinery-manufacturing manufacturing 
arcelormittal,687,25740000000.0,,31.0,1.19%,-15.23%,cac-40 steel-producers steel-industry 
ultratech cement,686,25840000000.0,india,89.0,-1.28%,-15.28%,
coca-cola european partners,681,26010000000.0,united-kingdom,56.0,-0.38%,-4.62%,beverages 
maybank,684,25880000000.0,malaysia,4.0,0.00%,-0.97%,banks 
lindt,694,25580000000.0,switzerland,11.0,1.80%,-10.81%,food 
veeva systems,685,25840000000.0,usa,166.0,1.45%,-25.84%,software tech 
intact financial,679,26110000000.0,canada,149.0,0.45%,15.23%,insurance 
zimmer biomet,682,25920000000.0,usa,123.0,0.42%,-3.02%,medical-devices 
m&t bank,688,25700000000.0,usa,148.0,-1.07%,-19.64%,banks financial-services 
alexandria real estate equities,689,25690000000.0,usa,156.0,0.29%,-25.52%,real-estate 
coloplast,692,25640000000.0,denmark,123.0,-0.04%,-19.32%,
saic motor,691,25660000000.0,china,2.0,-0.07%,-30.16%,automakers manufacturing 
cellnex telecom,676,26230000000.0,spain,37.0,2.98%,-22.84%,telecommunication 
smic,675,26290000000.0,china,2.0,2.17%,-5.53%,semiconductors tech 
edison international,678,26130000000.0,usa,68.0,-0.39%,7.34%,
gartner,673,26420000000.0,usa,334.0,0.13%,16.90%,professional-services 
titan company,671,26480000000.0,india,29.0,0.67%,-14.55%,luxury-goods 
daimler truck,672,26450000000.0,germany,32.0,0.48%,-21.97%,specialty-vehicles manufacturing dax 
formosa petrochemical,677,26140000000.0,taiwan,2.0,-0.84%,-22.38%,oil-gas energy 
shenzhen inovance,669,26500000000.0,china,9.0,-2.52%,-1.19%,
assa abloy,674,26320000000.0,sweden,23.0,0.00%,-18.98%,
genmab,670,26490000000.0,denmark,40.0,0.42%,12.52%,pharmaceuticals biotech 
deutsche bank,668,26510000000.0,germany,13.0,0.81%,-5.62%,banks financial-services dax 
flutter entertainment,667,26580000000.0,ireland,72.0,-2.21%,-2.63%,gambling entertainment 
bajaj finserv,666,26800000000.0,india,16.0,-0.41%,-93.19%,financial-services 
t rowe price,663,26940000000.0,usa,120.0,1.63%,-31.09%,investment 
sampo,665,26910000000.0,finland,52.0,0.48%,2.84%,insurance 
cbre group,664,26930000000.0,usa,85.0,0.65%,-17.89%,real-estate investment 
diamondback energy,659,27050000000.0,usa,148.0,2.04%,15.09%,energy oil-gas 
hp,650,27410000000.0,usa,27.0,1.18%,-27.34%,tech tech-hardware electronics 
wolters kluwer,658,27080000000.0,netherlands,108.0,-0.04%,1.32%,software tech 
equifax,660,26980000000.0,usa,220.0,2.01%,-11.65%,financial-services 
franco-nevada,649,27470000000.0,canada,143.0,0.88%,10.25%,mining investment gold-mining 
thales,661,26960000000.0,france,127.0,0.21%,36.33%,defense-contractors cac-40 
constellation energy,646,27610000000.0,usa,84.0,1.30%,101.07%,energy electricity utility-companies 
cdw corporation,657,27170000000.0,usa,200.0,1.57%,4.74%,retail 
nokia,653,27280000000.0,finland,4.0,1.14%,-17.79%,tech 
mobileye,656,27180000000.0,israel,33.0,7.45%,,autonomous-driving software tech 
naturgy,662,26940000000.0,spain,28.0,-0.42%,-17.82%,
willis towers watson,648,27530000000.0,united-kingdom,254.0,0.86%,11.98%,insurance 
beiersdorf,652,27390000000.0,germany,120.0,0.27%,17.41%,dax consumer-goods 
united rentals,655,27220000000.0,usa,392.0,1.02%,19.83%,rental-and-leasing-services 
wipro,654,27240000000.0,india,4.0,1.74%,-42.02%,professional-services it-services 
cheniere energy,651,27400000000.0,usa,56.0,0.43%,21.11%,oil-gas energy 
jd health,647,27600000000.0,china,8.0,0.00%,4.70%,drugstore internet e-commerce healthcare tech 
astellas pharma,645,27720000000.0,japan,15.0,3.51%,-10.13%,pharmaceuticals biotech 
fujitsu,644,27790000000.0,japan,142.0,1.68%,-12.45%,it-services professional-services 
sun life financial,632,28530000000.0,canada,48.0,0.26%,-15.37%,financial-services insurance 
aptiv,634,28450000000.0,ireland,105.0,2.39%,-31.19%,automotive-suppliers autonomous-driving 
orange,643,27870000000.0,france,10.0,0.05%,-8.11%,telecommunication cac-40 
lennar,630,28660000000.0,usa,100.0,1.86%,-6.98%,construction 
beigene,638,28000000000.0,china,269.0,0.64%,12.89%,pharmaceuticals 
foxconn industrial internet,636,28240000000.0,china,1.0,0.11%,-21.11%,
fastenal,640,27920000000.0,usa,48.0,1.12%,-17.64%,
ashtead,637,28010000000.0,united-kingdom,62.0,1.77%,-20.46%,
amadeus it group,639,27980000000.0,spain,62.0,1.20%,-14.60%,software tech travel 
sartorius,641,27910000000.0,germany,377.0,-0.14%,-15.95%,scientific-and-technical-instruments dax 
eqt,633,28510000000.0,sweden,23.0,-3.76%,-49.72%,investment 
eon,642,27890000000.0,germany,10.0,-0.10%,-23.53%,electricity dax energy utility-companies 
american water works,635,28310000000.0,usa,155.0,-0.95%,-4.79%,utility-companies 
dnb,629,28680000000.0,norway,18.0,-1.96%,-24.64%,financial-services 
alnylam pharmaceuticals,615,29320000000.0,usa,238.0,2.00%,60.54%,pharmaceuticals biotech 
kone,617,29280000000.0,finland,56.0,1.60%,-17.04%,engineering professional-services 
loblaw companies,631,28630000000.0,canada,88.0,0.09%,11.93%,retail supermarkets 
dell,627,28870000000.0,usa,40.0,0.72%,-33.39%,tech tech-hardware electronics 
eversource energy,626,28940000000.0,usa,83.0,-0.75%,-4.90%,energy utility-companies electricity 
discover financial services,625,28980000000.0,usa,106.0,0.63%,-16.83%,financial-services 
transurban,624,29010000000.0,australia,9.0,-0.51%,-1.36%,toll-road-operators infrastructure 
dmart,621,29090000000.0,india,44.0,-1.12%,-24.09%,retail 
ferguson,623,29070000000.0,united-kingdom,140.0,1.43%,-18.54%,
verisk analytics,628,28710000000.0,usa,183.0,1.12%,-7.35%,
albemarle,618,29270000000.0,usa,249.0,2.80%,6.94%,chemicals 
on semiconductor,619,29240000000.0,usa,67.0,2.69%,2.18%,semiconductors electronics tech 
swiss re,620,29210000000.0,switzerland,101.0,1.80%,-4.69%,insurance 
w w grainger,622,29080000000.0,usa,575.0,0.67%,14.06%,
kuhne nagel,616,29320000000.0,switzerland,245.0,0.75%,-15.37%,transportation 
adidas,606,29690000000.0,germany,162.0,-0.53%,-43.56%,footwear sports dax clothing 
ptt pcl,610,29560000000.0,thailand,1.0,0.00%,-12.82%,oil-gas energy 
chunghwa telecom,614,29360000000.0,taiwan,37.0,-0.03%,-11.29%,telecommunication 
imperial oil,612,29520000000.0,canada,50.0,1.83%,24.57%,oil-gas energy 
china overseas land & investment,605,29710000000.0,hong-kong,2.0,-0.70%,-3.56%,real-estate investment 
caterpillar,92,134430000000.0,usa,258.0,0.81%,12.84%,dow-jones machinery-manufacturing manufacturing 
swisscom,603,29840000000.0,switzerland,576.0,-0.82%,1.99%,telecommunication 
restaurant brands international,611,29550000000.0,canada,66.0,-0.25%,15.68%,restaurant-chains food 
international flavors & fragrances,602,29970000000.0,usa,117.0,0.86%,-19.35%,flavors-and-fragrances cosmetics 
japan post holdings,607,29670000000.0,japan,8.0,-0.18%,-1.40%,delivery-services 
ahold delhaize,608,29600000000.0,netherlands,30.0,-2.19%,-12.80%,retail food supermarkets 
wec energy group,604,29790000000.0,usa,94.0,-0.62%,-1.86%,
petrochina,93,133350000000.0,china,0.0,0.20%,-9.52%,oil-gas energy 
woolworths group,613,29490000000.0,australia,24.0,0.12%,-5.46%,supermarkets retail 
at&t,91,136840000000.0,usa,19.0,-0.67%,-29.36%,telecommunication 
gree electric appliances,609,29590000000.0,china,5.0,-0.68%,-13.51%,home-and-kitchen-appliances electronics manufacturing 
hsbc,83,145560000000.0,united-kingdom,36.0,0.41%,3.11%,banks 
qualcomm,90,138100000000.0,usa,123.0,2.43%,-34.71%,tech semiconductors tech-hardware 
honeywell,87,140670000000.0,usa,209.0,-1.41%,-3.86%,dow-jones aerospace defense-contractors 
raytheon technologies,84,144500000000.0,usa,98.0,-0.13%,6.46%,aerospace defense-contractors 
royal bank of canada,88,140350000000.0,canada,101.0,0.42%,-13.50%,banks financial-services 
ping an insurance,86,141950000000.0,china,7.0,0.10%,-4.11%,insurance 
charles schwab,79,150550000000.0,usa,80.0,-3.40%,-15.58%,financial-services banks 
netflix,82,146220000000.0,usa,328.0,0.72%,-37.50%,entertainment internet tech 
tata consultancy services,77,152660000000.0,india,41.0,0.34%,-22.80%,it-services professional-services 
agricultural bank of china,80,150110000000.0,china,0.0,0.34%,-4.35%,banks financial-services 
conocophillips,76,153010000000.0,usa,122.0,2.13%,41.57%,oil-gas energy 
dior,75,154100000000.0,france,853.0,1.03%,9.53%,luxury-goods clothing 
salesforce,81,148850000000.0,usa,148.0,0.26%,-35.62%,software dow-jones tech 
cm bank,78,151500000000.0,china,6.0,-1.62%,-22.68%,banks financial-services 
sap,89,138590000000.0,germany,118.0,1.97%,-14.69%,tech software dax 
amgen,85,143550000000.0,usa,269.0,-0.14%,14.31%,pharmaceuticals dow-jones biotech 
prosus,64,164780000000.0,netherlands,82.0,0.19%,-6.13%,investment 
wells fargo,61,168840000000.0,usa,44.0,0.43%,-23.68%,banks financial-services 
comcast,62,168330000000.0,usa,38.0,-0.01%,-24.66%,telecommunication media-press entertainment 
verizon,59,170090000000.0,usa,40.0,-0.86%,-23.99%,telecommunication dow-jones 
adobe,69,161600000000.0,usa,347.0,0.94%,-33.23%,software tech 
united parcel service,72,155410000000.0,usa,179.0,0.39%,-13.00%,delivery-services transportation 
china construction bank,65,164070000000.0,china,0.0,0.18%,-10.64%,banks financial-services 
catl,66,163490000000.0,china,66.0,0.65%,-29.94%,batteries electricity 
texas instruments,70,160780000000.0,usa,177.0,1.00%,-5.27%,semiconductors tech tech-hardware 
nextera energy,60,169440000000.0,usa,85.0,-0.55%,2.49%,energy electricity utility-companies renewable-energy 
morgan stanley,63,165300000000.0,usa,97.0,0.75%,-1.08%,banks financial-services investment 
china mobile,73,154680000000.0,china,7.0,0.46%,8.78%,telecommunication 
totalenergies,68,161740000000.0,france,64.0,1.67%,13.80%,oil-gas energy cac-40 
philip morris,71,156270000000.0,usa,100.0,-0.41%,-2.49%,tobacco 
linde,67,163190000000.0,united-kingdom,331.0,0.40%,0.82%,dax chemicals 
bristol-myers squibb,74,154180000000.0,usa,72.0,0.29%,11.69%,pharmaceuticals biotech 
bhp group,58,175380000000.0,australia,69.0,2.29%,3.49%,mining 
novartis,50,199450000000.0,switzerland,92.0,0.37%,2.40%,pharmaceuticals biotech 
hermes,54,190630000000.0,france,1.0,0.97%,18.46%,luxury-goods cac-40 
mcdonald,49,199510000000.0,usa,272.0,-0.62%,5.70%,restaurant-chains dow-jones food 
reliance industries,46,206070000000.0,india,30.0,-0.17%,-11.22%,conglomerate 
accenture,57,179900000000.0,ireland,285.0,0.20%,-19.22%,professional-services 
danaher,47,202100000000.0,usa,277.0,0.98%,-5.35%,conglomerate 
t-mobile us,56,182970000000.0,usa,147.0,0.06%,35.52%,telecommunication 
icbc,43,221650000000.0,china,0.0,0.95%,-8.33%,banks financial-services 
nike,51,199060000000.0,usa,128.0,0.19%,-13.36%,sports footwear dow-jones clothing 
shell,45,209870000000.0,united-kingdom,60.0,1.14%,17.91%,oil-gas energy 
toyota,48,200310000000.0,japan,146.0,1.41%,-30.32%,automakers manufacturing 
walt disney,55,183670000000.0,usa,100.0,0.81%,-33.71%,entertainment dow-jones 
cisco,52,197960000000.0,usa,48.0,0.23%,-21.46%,tech electronics networking-hardware dow-jones telecommunications-equipment tech-hardware 
abbott laboratories,53,197650000000.0,usa,113.0,-0.03%,-11.55%,medical-devices 
costco,44,216560000000.0,usa,488.0,0.27%,-2.97%,retail supermarkets 
broadcom,36,245290000000.0,usa,586.0,1.34%,-1.57%,semiconductors tech 
alibaba,28,304250000000.0,china,114.0,-0.52%,-12.91%,e-commerce tech internet retail 
pfizer,35,255770000000.0,usa,45.0,-1.12%,-17.08%,pharmaceuticals biotech 
thermo fisher scientific,40,232840000000.0,usa,593.0,0.99%,-0.19%,scientific-and-technical-instruments diagnostics biotech 
international holding company,37,242350000000.0,united-arab-emirates,110.0,0.00%,165.41%,investment conglomerate 
novo nordisk,27,315220000000.0,denmark,140.0,0.83%,45.48%,pharmaceuticals biotech 
roche,34,263160000000.0,switzerland,320.0,0.83%,-20.27%,pharmaceuticals biotech 
l'oreal,42,222910000000.0,france,415.0,-1.05%,-5.39%,consumer-goods cac-40 cosmetics 
asml,31,272070000000.0,netherlands,674.0,2.54%,-9.35%,semiconductors tech tech-hardware 
bank of america,30,273399999999.0,usa,34.0,-0.96%,-28.64%,banks financial-services 
oracle,39,238280000000.0,usa,88.0,-0.25%,0.78%,tech software 
astrazeneca,41,224280000000.0,united-kingdom,71.0,1.40%,21.89%,pharmaceuticals biotech 
abbvie,32,268730000000.0,usa,151.0,-0.57%,11.84%,biotech pharmaceuticals 
merck,29,278340000000.0,usa,109.0,-0.60%,34.90%,pharmaceuticals dow-jones biotech 
coca-cola,33,264700000000.0,usa,61.0,-0.76%,-0.29%,beverages dow-jones 
nestle,25,333660000000.0,switzerland,121.0,-1.83%,-9.01%,food 
nvidia,13,442280000000.0,usa,177.0,0.26%,-31.48%,tech semiconductors electronics tech-hardware autonomous-driving 
walmart,17,387820000000.0,usa,143.0,-0.42%,0.91%,retail dow-jones supermarkets 
samsung,26,327890000000.0,south-korea,48.0,-0.98%,-25.10%,tech electronics tech-hardware manufacturing semiconductors 
procter & gamble,21,352590000000.0,usa,148.0,-1.09%,-5.06%,dow-jones consumer-goods 
johnson & johnson,12,445840000000.0,usa,170.0,-1.06%,2.05%,pharmaceuticals dow-jones biotech 
eli lilly,23,340130000000.0,usa,357.0,0.06%,44.89%,pharmaceuticals biotech 
unitedhealth,11,453780000000.0,usa,485.0,0.12%,5.35%,healthcare insurance dow-jones 
lvmh,14,435610000000.0,france,869.0,0.39%,11.00%,luxury-goods cac-40 clothing 
chevron,22,351220000000.0,usa,181.0,0.64%,40.39%,oil-gas dow-jones energy 
meta platforfacebook,19,358590000000.0,usa,136.0,1.03%,-57.02%,tech internet 
tesla,15,424250000000.0,usa,134.0,2.18%,-60.89%,automakers tech electric-vehicles bitcoin manufacturing ev-charging autonomous-driving 
kweichow moutai,20,354890000000.0,china,282.0,-0.79%,-3.61%,alcoholic-beverages beverages 
jpmorgan chase,16,411930000000.0,usa,140.0,-0.29%,-7.20%,banks financial-services dow-jones 
mastercard,18,360660000000.0,usa,375.0,0.03%,2.41%,financial-services 
home depot,24,339480000000.0,usa,333.0,1.70%,-9.17%,retail dow-jones 
saudi aramco,2,1883000000000.0,saudi-arabia,8.0,0.16%,-4.25%,energy oil-gas 
visa,7,473880000000.0,usa,223.0,0.35%,3.74%,financial-services dow-jones 
tencent,10,467090000000.0,china,48.0,1.97%,-15.36%,tech internet video-games esports 
tsmc,8,470100000000.0,taiwan,90.0,1.86%,-32.27%,semiconductors tech manufacturing tech-hardware 
berkshire hathaway,6,695850000000.0,usa,315.0,0.20%,-1.50%,investment 
exxon mobil,9,468290000000.0,usa,113.0,0.69%,55.60%,oil-gas energy 
amazon,5,1000000000000.0,usa,98.0,2.08%,-38.30%,e-commerce internet tech retail 
alphabet google,4,1200000000000.0,usa,93.0,1.11%,-31.63%,internet tech software autonomous-driving 
microsoft,3,1798000000000.0,usa,241.0,0.37%,-20.29%,software tech dow-jones video-games 
digitalbridge group,3801,1950000000.0,usa,12.0,0.99%,55.54%,real-estate investment reit 
korea gas,3601,2290000000.0,south-korea,26.0,-1.93%,-12.50%,oil-gas energy 
safehold,3701,2109999999.0,usa,34.0,0.32%,-51.80%,real-estate investment reit 
tkh group,3900,1820000000.0,netherlands,44.0,1.44%,-27.51%,telecommunications-equipment manufacturing 
arcos dorados holdings,3898,1820000000.0,,8.0,0.99%,58.23%,food restaurant-chains 
sonic automotive,3897,1820000000.0,usa,49.0,2.77%,3.43%,
olav thon,3899,1820000000.0,norway,17.0,1.14%,-18.95%,real-estate 
n-able,3896,1820000000.0,usa,10.0,0.90%,-0.59%,software tech 
nmi holdings,3895,1820000000.0,usa,21.0,1.96%,-14.44%,insurance 
hercules capital,3894,1820000000.0,usa,14.0,1.15%,-20.31%,financial-services 
diamondrock hospitality company,3892,1830000000.0,usa,8.0,-0.80%,-12.46%,real-estate investment reit 
csg international,3893,1830000000.0,usa,58.0,-0.29%,1.01%,software tech 
parex resources,3890,1830000000.0,canada,16.0,2.74%,-16.63%,oil-gas energy 
ryman healthcare,3889,1830000000.0,new-zealand,3.0,2.34%,-54.96%,healthcare 
